20200618_C_N1N_CD45_CGDA7928_34_S34	20200618_C_N1R_CD45_CGDA7928_33_S33	20200618_C_N2N_CD45_CGDA7928_36_S36	20200618_C_N2R_CD45_CGDA7928_35_S35	20200618_C_P2N_CD45_CGDA7928_40_S38	20200618_C_P2R_CD45_CGDA7928_39_S37	20200618_D_N1N_CD45_CGDA7928_42_S40	20200618_D_N1R_CD45_CGDA7928_41_S39	20200618_D_N2R_CD45_CGDA7928_43_S41	20200618_D_P1N_CD45_CGDA7928_46_S44	20200618_D_P1R_CD45_CGDA7928_45_S43	20200618_D_P2N_CD45_CGDA7928_48_S46	20200618_D_P2R_CD45_CGDA7928_47_S45
ABCB4	75.7717174176572	100.622345818725	273.546435726712	266.706778123193	427.865047751531	234.486078476795	439.926709604364	97.4195357658182	97.9459650831134	150.069594793571	91.4579927110436	82.5981601710324	237.366143570232
ABCB9	2.95214483445417	44.2991459579292	74.1081977267586	31.3772680144932	71.1256183275272	98.3649227508588	50.444929367967	0	0	25.7025272850868	10.7597638483581	28.9093560598614	108.21103603937
ACAP1	3005.28344147435	8856.0321219323	3778.42825762753	5280.60963467442	5196.61548905496	7760.89304653493	4389.88199290541	9034.87630086217	5100.31352723703	6319.5052569978	7248.49424584388	7251.08598601451	4519.55609393467
ACHE	120.05388993447	360.721617085995	394.517170251274	580.479458268125	709.033507702537	300.062693644034	841.139868763543	6.28513133973021	490.620243279959	198.158194230185	294.10021185512	227.144940470339	486.076992531688
ACP5	3858.45329863161	6494.88764237467	7877.26548777958	9583.90965677978	3357.35145261656	6108.56106133616	3555.78095149554	4947.96964720261	5392.37058675759	4785.64475772649	5020.3264822464	3755.11885677556	3342.32474218378
ADAM28	35.4257380134501	12.0240539028665	2.17965287431643	0	0	0.993585078291503	17.5970683841745	26.7118081938534	0	2.48734135016969	0.896646987363172	17.5521090363444	0
ADAMTS3	192.873462517673	103.786570530005	186.360320754055	66.4459793248092	88.907022909409	135.127570647644	377.750401313614	0	292.947477384948	55.5506234871231	109.390932458307	24.7794480513097	95.9936610026673
ADRB2	1099.1819266951	930.282065116513	1949.69949607605	1434.12572042713	965.752536353455	952.848090081551	1683.45287541937	263.975516268669	1016.8572011356	867.253017425833	1090.32273663362	889.995175842875	1375.32736127458
AIF1	1434.74238954473	3114.22996084242	7584.10217618402	5868.47197953419	4529.81281723439	3143.70318771431	3061.88989884637	13761.2950683393	2409.47074104459	3060.25897449211	3479.88695795647	3488.73979022398	5444.58591814219
ALOX15	6.88833794705974	31.6422471128066	342.20550126768	239.020953404522	471.207221419868	117.243039238397	118.486927120109	36.1395052034487	177.193155013996	70.4746715881413	48.4189373176113	51.6238501068953	266.164241871032
ALOX5	99.3888760932905	212.003055655804	3037.34628035995	3163.56690452008	3153.97663771128	1267.81455989996	2964.51945378727	1099.89798445279	877.061596426061	776.879615036334	638.412655002579	908.579761881357	2707.02124027522
AMPD1	29.5214483445417	0.632844942256131	7.62878506010751	1.84572164791137	0	7.94868062633202	26.982171522401	1.57128283493255	0	6.63291026711918	9.86311686099489	3.09743100641372	6.98135716383035
ANGPT4	94.4686347025336	14.555433671891	22.8863551803225	85.8260566278786	66.6802671820567	42.7241583665346	15.2507925996179	0	76.5759363377068	7.46202405050908	31.382644557711	10.3247700213791	28.7980983008002
ANKRD55	7.87238622521113	10.7583640183542	11.9880908087404	8.30574741560115	6.66802671820567	14.9037761743725	0	0	0	9.12025161728887	14.3463517978108	0	14.8353839731395
APOL9A	1659.10539696325	152.515631083728	178.731535693947	215.94943280563	112.245116423129	176.858143935887	96.1973071668209	0	120.206411692912	152.556936143741	326.379503400195	239.534664495994	157.953205831662
AQP9	10.8245310596653	10.7583640183542	118.791081650245	73.8288659164547	97.7977252003499	60.6086897757817	30.5015851992359	1.57128283493255	11.5754322370952	42.2848029528848	18.8295867346266	38.2016490791025	140.499812922086
ARHGAP22	294.230435167266	255.669356671477	1359.01356713629	960.698117737867	1767.0270803245	436.18384936997	1679.93346174253	120.988778289807	811.170674461057	326.67083065562	572.060777937704	287.028606594338	906.703761652466
ARRB1	11.8085793378167	65.1830290523815	269.187129978079	247.326700820123	406.749629810546	128.172475099604	307.362127776915	34.5682223685161	181.645244335956	90.3734023894988	86.0781107868645	88.7930221838599	342.959170673166
ASGR2	1296.97563060353	781.563503686322	6778.7204391241	5661.75115496812	4350.8874336292	2690.62839201339	4571.71836620855	7058.20249451702	1800.4249218005	2830.59445649311	2612.82932117628	1677.7751284741	4838.95318417991
BACH2	1036.20283689342	1250.50160589812	328.037757584623	675.53412313556	440.089763401574	1455.60213969705	549.028533586246	850.064013698511	1103.22773398161	1172.36688971332	1246.33931243481	1227.61515554197	291.471661589917
BANK1	2837.99523418861	7031.54015340787	171.10275063384	3642.53167215308	150.030601159628	6730.54532034664	231.108164778826	6663.81050294895	3462.83507462025	5180.30291862008	4410.60653083944	6495.31282044956	271.400259743905
BCL11B	321.783786955505	966.987071767368	1428.76245911442	1032.68126200641	2025.96878454816	1433.74326797464	1871.15493818389	186.982657356974	745.279752496054	565.45560027191	974.655275263768	868.313158797979	1237.44555728893
