20200618_C_N1N_CD45_CGDA7928_34_S34	20200618_C_N1R_CD45_CGDA7928_33_S33	20200618_C_N2N_CD45_CGDA7928_36_S36	20200618_C_N2R_CD45_CGDA7928_35_S35	20200618_C_P2N_CD45_CGDA7928_40_S38	20200618_C_P2R_CD45_CGDA7928_39_S37	20200618_D_N1N_CD45_CGDA7928_42_S40	20200618_D_N1R_CD45_CGDA7928_41_S39	20200618_D_N2R_CD45_CGDA7928_43_S41	20200618_D_P1N_CD45_CGDA7928_46_S44	20200618_D_P1R_CD45_CGDA7928_45_S43	20200618_D_P2N_CD45_CGDA7928_48_S46	20200618_D_P2R_CD45_CGDA7928_47_S45
A3GALT2	518.593442585783	161.375460275313	935.071083081749	588.785205683726	1405.84229975503	281.184577156495	558.413636724472	106.847232775414	1447.81944750129	286.044255269515	453.703375605765	201.333015416892	792.384038094744
AA926063	10.8245310596653	2.53137976902452	4.35930574863286	6.46002576768979	4.44535114547045	0	0	0	0	10.7784791840687	3.58658794945269	11.357247023517	5.23601787287276
AAAS	84.6281519210197	348.697563183128	348.744459890629	472.50474186531	323.399295832975	397.434031316601	247.532095270722	372.394031879015	449.66102151793	349.886016590537	392.731380465069	448.095018927851	383.10197436519
AACS	1302.87992027244	1143.55081065683	882.759414098154	1280.00796282653	1154.67996003595	1050.21942775412	859.910075039996	274.974496113197	1470.07989411109	1737.82248998523	1228.40637268755	1377.32432085197	714.716439647132
AADAT	1485.9129000086	120.873383970921	120.970734524562	309.158376025154	70.0142805411596	184.80682456222	63.3494461830284	20.4266768541232	91.7130400323698	122.708839941705	120.150696306665	1060.35388119563	226.021438179007
AAGAB	411.332180267282	538.551045859968	435.930574863286	407.904484188412	537.887488601924	504.741219772083	441.099847496642	707.077275719648	411.373053349076	548.873324604112	550.541250240988	564.764920169434	344.704509964123
AAK1	95.452682980685	170.868134409155	182.001015005422	117.203324642372	203.374814905273	115.255869081814	238.146992132496	248.262687919343	176.302737149604	114.417702107806	190.985808308356	115.637424239445	315.033742017844
AAMDC	90.532441589928	120.240539028665	98.0843793442394	69.2145617966763	70.0142805411596	73.5252957935712	24.6358957378444	207.409334211097	34.7262967112856	96.1771988732281	81.5948758500487	148.676688307858	58.4688662470791
AAMP	8482.49615766499	9775.55582303046	7755.20492681786	7190.00867943873	7368.16952361727	8067.910835727	6747.8891563848	12105.1629603204	9148.15313876279	8462.76438706068	9580.67305997549	7606.25807474995	7048.55272653221
AAR2	444.789821724429	592.975710893995	240.851642611966	567.559406732745	343.403375987592	463.01064648384	384.789228667283	125.702626794604	432.743082094483	423.677143312238	483.29272618875	478.03685198985	422.372108411736
AARD	2.95214483445417	1.26568988451226	3.26947931147465	0	2.22267557273522	2.98075523487451	3.51941367683491	4.71384850479766	0	2.48734135016969	3.58658794945269	0	0
AARS	4022.78936108289	2313.68110888842	3844.90767029418	2854.40852849493	3827.44733625006	2158.06679004914	4149.38872498836	1965.67482650062	5874.97706925802	2797.42990515751	2716.84037171041	1596.2094453052	2466.16441812307
AARS2	227.315152252971	596.772780547532	397.786649562749	253.786726587813	556.780230970174	619.997088853898	699.190183797869	155.557000658323	605.484147786519	558.822690004791	692.211474244369	397.503645823094	459.896903167324
AARSD1	473.327221790819	966.987071767368	829.357918677402	744.748684932237	587.897688988467	787.912967085162	705.05587325926	1021.33384270616	583.223701176721	841.550490140746	969.275393339589	774.357751603429	681.554993118938
AASDHPPT	610.109932453863	1429.5967245566	559.080962262164	549.102190253632	562.336919902012	742.208053483752	502.103017895114	2144.80106968293	543.154897279083	1046.34159463805	894.853693388446	1357.70725781135	582.070653534355
AASS	12.7926276159681	5.06275953804905	0	0	0	0	31.6747230915142	0	23.1508644741904	21.5569583681373	0	0	12.2173750367031
AATF	550.082987486628	634.7434770829	549.27252432774	590.630927331638	513.438057301837	693.522384647469	533.777740986628	482.383830324293	686.512173446186	860.620107158713	701.177944118001	793.97481464405	518.365769414403
AATK	74.7876691395058	51.2604403227466	13.0779172458986	62.7545360289865	47.7875248138073	40.7369882099516	34.0209988760708	1.57128283493255	0.89041786439194	2.48734135016969	3.58658794945269	21.682017044896	10.4720357457455
ABAT	15.7447724504223	29.7437122860382	15.257570120215	3.69144329582273	2.22267557273522	17.884531409247	8.21196524594812	15.7128283493255	16.9179394234469	18.2405032345777	17.0362927599003	15.4871550320686	18.3260625550547
ABCA1	424.12480788325	411.349212466485	2052.14318116892	1244.01639069226	1660.33865283321	808.778253729283	2173.8245143917	219.979596890557	833.431121070856	750.347973967857	662.622123661384	382.016490791025	1280.20636991739
ABCA13	1.96809655630278	1.26568988451226	1.08982643715822	0.922860823955684	15.5587290091466	15.897361252664	21.1164820610095	3.1425656698651	4.4520893219597	4.97468270033938	2.68994096208952	2.06495400427581	0
ABCA17	9.84048278151392	35.4393167663433	504.589640404254	374.681494526008	420.085683246958	107.307188455482	245.185819486165	150.843152153525	59.65799691426	85.3987196891594	87.8714047615909	69.1759591432397	287.108313362523
ABCA2	809.871732918595	1218.22651384305	1667.43444885207	1935.23914783507	2632.75921590487	1587.74895510982	2846.03252666716	202.695485706299	1759.46570003847	800.923914754641	1247.23595942217	948.846364964735	2755.89074042203
ABCA4	113.16555198741	26.5794875747575	3.26947931147465	0	24.4494313000875	15.897361252664	0	0	42.7400574908131	2.48734135016969	22.4161746840793	11.357247023517	29.670767946279
ABCA5	40.3459794042071	25.3137976902452	46.8625367978033	25.8401030707591	16.6700667955142	27.8203821921621	1.1731378922783	20.4266768541232	35.6167145756776	60.5253061874625	32.2792915450742	46.4614650962058	7.85402680930914
ABCA7	400.507649207616	575.256052510823	700.758399092732	522.339226358917	914.630998180545	730.285032544254	1021.8031041744	285.973475957724	797.814406495178	369.784747391894	355.072206995816	408.860892846611	1096.94574436684
ABCA8A	128.910324437832	56.9560448030518	173.282403508156	142.120566889175	70.0142805411596	79.4868062633202	175.970683841745	1.57128283493255	73.904682744531	127.683522642044	66.3518770648747	104.280177215928	46.251491210376
ABCB10	193.857510795824	144.288646834398	146.036742579201	217.795154453541	361.184780569474	195.736260423426	258.090336301227	1.57128283493255	227.056555419945	200.645535580355	195.469043245172	169.326228350617	251.328857897892
ABCB11	0	0.632844942256131	58.8506276065436	51.6802061415183	1.11133778636761	4.96792539145751	0	0	22.2604466097985	0.829113783389897	0	2.06495400427581	35.7794554646305
ABCB1A	34.4416897352987	70.8786335326867	64.2997597923347	222.40945857332	162.255316809671	309.004959348657	156.027339673014	98.9908186007508	170.960229963252	101.980995356957	87.8714047615909	173.456136359168	140.499812922086
ABCB1B	20.6650138411792	22.1495729789646	31.6049666775882	12.9200515353796	8.8907022909409	6.95509554804052	28.1553094146793	87.9918387562229	7.12334291513552	37.3101202525454	22.4161746840793	12.3897240256549	19.1987322005335
ABCB4	75.7717174176572	100.622345818725	273.546435726712	266.706778123193	427.865047751531	234.486078476795	439.926709604364	97.4195357658182	97.9459650831134	150.069594793571	91.4579927110436	82.5981601710324	237.366143570232
ABCB6	165.320110729434	158.211235564033	207.067023060061	221.486597749364	264.498393155492	180.832484249053	190.048338549085	3.1425656698651	209.248198132106	149.240481010182	185.605926384177	156.936504324962	237.366143570232
ABCB7	153.511531391617	174.665204062692	49.0421896721197	95.9775256913911	71.1256183275272	146.057006508851	58.6568946139152	175.983677512446	73.0142648801391	204.791104497305	134.497048104476	212.690262440409	70.6862412837823
ABCB8	157.447724504223	301.867037456175	210.336502371536	323.924149208445	222.267557273522	405.382711942933	355.460781360326	3.1425656698651	436.30475355205	325.01260308884	352.382266033727	337.619979699095	196.350670232728
ABCB9	2.95214483445417	44.2991459579292	74.1081977267586	31.3772680144932	71.1256183275272	98.3649227508588	50.444929367967	0	0	25.7025272850868	10.7597638483581	28.9093560598614	108.21103603937
