20200618_A4-10_CD45_CGDA7928_106_S84	20200618_A4-14_CD45_CGDA7928_99_S77	20200618_A4-15pt1_CD45_CGDA7928_100_S78	20200618_A4-15pt2_CD45_CGDA7928_101_S79	20200618_A4-15pt3_CD45_CGDA7928_102_S80	20200618_A4-15pt4_CD45_CGDA7928_103_S81	20200618_A4-16_CD45_CGDA7928_104_S82	20200618_A4-18_CD45_CGDA7928_94_S72	20200618_A4-1_CD45_CGDA7928_89_S67	20200618_A4-20_CD45_CGDA7928_107_S85	20200618_A4-24_CD45_CGDA7928_105_S83	20200618_A4-27_CD45_CGDA7928_91_S69	20200618_A4-28_CD45_CGDA7928_95_S73	20200618_A4-37_CD45_CGDA7928_92_S70	20200618_A4-38_CD45_CGDA7928_96_S74	20200618_A4-3_CD45_CGDA7928_90_S68	20200618_A4-40_CD45_CGDA7928_108_S86	20200618_A4-4_CD45_CGDA7928_97_S75	20200618_A4-8_CD45_CGDA7928_93_S71	20200618_A4-9_CD45_CGDA7928_98_S76
ABCB4	73.0181067522771	105.750462162013	119.735656098942	162.269438708281	45.8299510393961	55.219443250836	38.8399068589283	66.4392901076942	63.8349124014013	58.226538300292	121.995723798944	28.2057402668013	69.0604577644104	23.2431739176839	101.67483430988	28.9634475293578	52.9585087488613	48.4437356567797	140.82723779299	116.507617214065
ABCB9	7.86348841947599	33.7813976350874	69.6288869705805	160.404272746117	58.6197048178322	14.6676646135033	36.4619533777694	12.8592174401989	80.5301971833062	33.4263460612787	57.6298817945934	14.7160384000702	56.1116219335834	29.5009515109065	9.63235272409389	33.4193625338744	62.3041279398369	65.1788443382127	54.8677549842817	62.8934924783893
ACAP1	5987.48475368672	8499.69339627178	10897.2461795265	10080.2894425161	8975.20971401754	9056.8514969379	7259.09932681766	6695.36588053022	8826.89527175069	6442.65863600453	7140.86626236643	9679.47425764619	6420.46443278503	7327.85756166365	7383.73349372486	8184.40188454584	8498.28305099375	11724.2648241345	7690.63032363015	8531.86311899461
ACHE	302.182626405577	308.438847972537	675.465277340771	911.133572517186	343.191726388036	377.908064747909	328.157580399925	432.926987153363	718.879321197319	462.577498718986	407.151372678686	336.016210134937	512.558084970233	360.2691957241	437.736918239378	507.974310514891	480.780187269075	531.119501837058	484.665169027822	670.176559195951
ACP5	7580.40283637486	3517.67162330584	3697.48911931624	4762.70128438615	5604.04378058476	6681.55263335116	7646.70574424656	6561.41569886148	4329.97121196582	7655.71151726061	3691.3061949472	6047.06544589553	7617.15267748395	5880.52300117403	8711.92790823603	5576.57762815251	5869.04885193263	3354.94889303044	5474.88748484824	4873.73014664502
ADAM28	0	0	0	0	0	0	1.58530232077258	0	0	4.31307691113274	0	4.90534613335674	0	0.893968227603227	1.07026141378821	4.45591500451659	1.03840213233061	6.16556635631742	0	0
ADAMTS3	43.8108640513663	42.5939361485885	160.081366306194	59.6853107892527	74.6068970408773	43.1401900397156	50.7296742647227	82.5133119079428	22.587738234342	43.1307691113274	79.3346424704792	68.6748458669944	111.144174214598	25.9250786004936	50.3022864480459	46.7871075474241	18.6912383819511	36.1126029441449	62.1834556488526	19.5897763457278
ADRB2	1088.53146835318	1414.41243141692	1124.4739877118	1297.22292668517	1050.8914354615	1217.41616292078	1226.23134511759	1377.00786755463	1308.12466644102	1222.75730430613	1300.04032048323	1274.16365813941	1083.38593117919	750.039342959107	1539.03591302745	1312.26696883013	1291.77225261928	909.861435153699	1337.8587590334	1441.39512270145
AIF1	684.123492494411	1935.8209601324	1831.82539086153	1958.42426027236	1223.55311147039	490.07255885117	1222.26808931566	256.112747350628	746.377437308692	398.959614279778	2966.06781236329	1672.72303147465	254.660438006263	220.810152217997	395.996723101638	311.914050316161	302.175020508209	764.53022818336	1037.00056920292	461.906305415056
ALOX15	20.2203987929383	26.4376155405032	42.2979219914741	86.7302172406329	29.8427588163509	31.9237406293896	22.1942324908162	2.14320290669981	8.83868017865556	8.62615382226548	93.555002913301	19.621384533427	0	16.0914280968581	13.9133983792467	23.3935537737121	16.6144341172898	29.9470365878275	32.0061904074977	12.3724903236176
