baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NCKAP1L	15.7187926227292	18.8271790777154	2.55111399337069	7.37998346080952	1.5830919711717e-13	2.08208256048502e-09
SLC8A2	10.409767629158	18.6814088719343	2.69355223654401	6.93560296268976	4.04492162862704e-12	2.65994046298514e-08
HRH3	12.5808266042012	17.1353345661667	2.5979949282811	6.59559969868915	4.23540297938384e-11	1.85680066616188e-07
KLF15	166.039599985803	3.20780994732389	0.493509820249207	6.49999212924282	8.03242140710572e-11	2.49754584949805e-07
LRRN2	11.0061180860178	18.9167637327172	2.92160653127095	6.47478143625591	9.49492795581681e-11	2.49754584949805e-07
GRAP	16.7083982906583	18.0432417623645	2.80702840627133	6.4278800036555	1.29395818664716e-10	2.83635634513057e-07
PLXNB3	27.5583351931584	8.88498176862741	1.48874237564858	5.96811235708706	2.40014075632669e-09	4.50952160388694e-06
TSC22D3	4223.09283591559	2.45961529518505	0.413640822546526	5.94625859227999	2.74340635457623e-09	4.51016004692332e-06
KIAA0408L	8.71839200995201	18.5060009132482	3.78658028408919	4.88725961813315	1.02249221783832e-06	0.00149420196100107
EMX2	143.381679533983	1.227933923468	0.285816474772942	4.29623213442644	1.73725663156964e-05	0.0228483992184039
LGI4	293.764150816746	1.65309553174864	0.390560724427072	4.23262101987758	2.30983548304732e-05	0.0253157968941986
ZBTB16	557.686175163727	1.8211475639045	0.429520591787886	4.23995402950053	2.2356556659839e-05	0.0253157968941986
RGD1564664	34174.3290773583	1.88440213157309	0.449733532116586	4.19004142898686	2.78903527548146e-05	0.0282164553408709
PEX11A	1029.45902687364	1.26534314725755	0.307652429804152	4.11289827310336	3.90722587328526e-05	0.0367055962038912
PTGIR	350.018495187484	2.62405157008308	0.643711621161706	4.07643964132177	4.57305190272927e-05	0.0400965190831303
NPHS1	18.8282221003519	5.77306279477673	1.43706679854498	4.01725431317592	5.8880171055429e-05	0.0483995006075626
