baseMean	log2FoldChange	lfcSE	pvalue	padj
NCKAP1L	15.7187926227292	18.2599305835079	2.51238940392163	1.5830919711717e-13	2.08208256048502e-09
SLC8A2	10.409767629158	18.0561027383244	2.64810578696639	4.04492162862704e-12	2.65994046298514e-08
HRH3	12.5808266042012	16.6004678699533	2.55725728822287	4.23540297938384e-11	1.85680066616188e-07
KLF15	166.039599985803	3.062619923288	0.520551185747814	8.03242140710572e-11	2.49754584949805e-07
LRRN2	11.0061180860178	18.1761054300686	2.86414619623929	9.49492795581681e-11	2.49754584949805e-07
GRAP	16.7083982906583	17.3891034957072	2.75605949221649	1.29395818664716e-10	2.83635634513057e-07
PLXNB3	27.5583351931584	8.78959835759962	1.48621927043978	2.40014075632669e-09	4.50952160388694e-06
TSC22D3	4223.09283591559	2.31659013208581	0.420767816368667	2.74340635457623e-09	4.51016004692332e-06
KIAA0408L	8.71839200995201	16.7981070205376	4.66664284114691	1.02249221783832e-06	0.00149420196100107
NPHS1	18.8282221003519	1.94118922624849	2.77280722210153	5.8880171055429e-05	0.0483995006075626
