baseMean	log2FoldChange	lfcSE	pvalue	padj
LPIN2	1797.23348868152	3.72257991688976	0.364421173160646	9.14829124409388e-25	1.1792147413637e-20
HS6ST1	6410.00993993167	3.49334917565059	0.416227702627739	1.55674102402588e-17	1.00331958998468e-13
RO60	144.225095436406	-5.90293246940614	0.710327048375843	2.78640358760459e-17	1.19722474147411e-13
MYO18A	1298.92166664162	-1.44610231032032	0.188914556325735	7.61047289781468e-17	2.45247489132078e-13
NUDT3	2965.35930766515	1.48433838801171	0.199046449060426	2.59793337065748e-16	6.69747222955499e-13
PFKL	736.64201014362	1.62698145223593	0.225174577528019	4.64668824041485e-16	9.98263523649123e-13
MYO5A	84.794236486754	-8.59734899503022	1.13436077694183	8.46113422477039e-16	1.55805743081843e-12
MAP3K12	2226.14820829878	3.18869134833425	0.414294462027624	1.36718111819e-15	2.20287057668363e-12
RAP1GDS1	1369.41747587837	3.42811056308173	0.444488101174283	2.77927549943494e-15	3.98054013196849e-12
TGFBR1	504.431068657405	-2.34883574719	0.35920372709595	1.33183736071983e-14	1.71673835796786e-11
MOB1A	3409.01262104256	3.14730217923304	0.432409341531378	2.15930233050034e-14	2.53030973092267e-11
SF3B3	2184.93263206366	-1.32592186154671	0.190619887036293	2.80143374208813e-14	3.00920674462634e-11
PTHLH	1365.05676939224	3.54630269653224	0.480961252273696	4.25295155936337e-14	4.21696504616876e-11
ZFP644	1151.61730104779	2.58788580184737	0.4017284018225	1.24454310396815e-13	1.14586861501068e-10
MAP4	5474.6459546368	-1.46930472605094	0.224894423545484	1.9428473503674e-13	1.66955348974905e-10
SLC2A12	92.950004402051	-6.16125999741171	0.864104518031341	2.48172044861013e-13	1.99933603641153e-10
SSC5D	86.7854343456884	-8.82206777759455	1.31192068827091	2.90393689662797e-13	2.20186744691380e-10
ZDHHC5	2084.23388418913	-1.34819041064122	0.204758124065654	3.09829506623349e-13	2.21872352243054e-10
SNRNP48	590.322033410019	1.31695231622651	0.203000446553384	7.0623247515202e-13	4.79122979195239e-10
STEAP1	36.3697917702434	-7.93433277316743	1.20227357913808	2.24816635419289e-12	1.44894321527731e-09
DPP8	1130.97247720294	-1.53703886976571	0.256661686466211	3.67202557031942e-12	2.25392426673416e-09
CHML	49.2609395824278	-8.0508968486394	1.25180541083095	5.90046059074097e-12	3.45713350066596e-09
CSDE1	9228.69476682643	1.69920793863993	0.299653384662978	7.43951915567635e-12	4.1693653007247e-09
PLXNB2	4326.96722794909	-1.5701200588193	0.269763266868841	7.83859617949479e-12	4.20997936473699e-09
TSC2	1379.93072685966	-1.38910783746025	0.230921274983315	8.8412139335644e-12	4.55852990414581e-09
ABCD3	586.12647479541	2.8027488385271	0.477435161640978	1.55494007724482e-11	7.70891445987913e-09
GYPC	443.788269274406	1.60405270412735	0.28555086661384	1.98700392652216e-11	8.83188986650713e-09
PLXNA3	138.17584694997	-4.94998689663314	0.752715853255045	1.90750585923296e-11	8.83188986650713e-09
POLDIP3	600.233679229441	2.41658601998318	0.445267650702173	1.98440822648018e-11	8.83188986650713e-09
SLC39A1	1390.83846233458	3.21702874581132	0.519267140983528	2.33487756637697e-11	1.00321906101997e-08
ARSI	38.4492789376544	-7.98062586191545	1.28455638509132	2.59265427226254e-11	1.07804237320852e-08
CLUH	2052.07966882144	-1.12550541949242	0.185941903856542	3.04156726284488e-11	1.1880546066082e-08
GNL3L	605.431568512176	-1.50829195733703	0.266165575062184	3.01314805150532e-11	1.1880546066082e-08
FRZB	30.3128294469927	-7.83683368256474	1.26910003254385	3.88086060606683e-11	1.47130274153534e-08
ACTA2	22588.7451137957	1.72143631970688	0.321962707221939	4.12581247316543e-11	1.51947779368864e-08
ORAI2	103.920026542173	-4.11816672726211	0.642897624037657	5.02169362724776e-11	1.79804530153399e-08
PDLIM7	12296.4387813854	1.70188977367398	0.321707561852736	6.38554826043652e-11	2.22458694802775e-08
COL6A2	5506.49546803812	-1.37435733951815	0.242404226040483	7.42735489346966e-11	2.519436962548e-08
TACSTD2	71.7666201838123	-7.97749801471444	1.33132714616779	1.01066116352687e-10	3.34036471740034e-08
EZR	15416.4304022395	-1.27485463952422	0.223080647772884	1.04653912856265e-10	3.37247234179313e-08
LTBP2	18531.9875977719	-2.63421369507937	0.496560940287918	1.20632771399364e-10	3.79257664228732e-08
TSN	422.928642092284	-1.77928849327032	0.350997635232689	1.37088859357393e-10	4.20732237408761e-08
FLNB	1026.76204789465	-2.10163578601256	0.42879356499831	1.60878636910161e-10	4.82261774365576e-08
MAX	532.243766040335	1.53538171481012	0.288342098085435	1.65817370960094e-10	4.85769525380822e-08
LAMC1	11819.635478388	-1.35874646725616	0.245448696414025	1.74531086863012e-10	4.99934602147605e-08
AP3D1	2777.19622024253	-1.06236100791343	0.183163705706766	1.90348186772591e-10	5.33388723369281e-08
SLCO2A1	1347.98007554645	-1.88489917459498	0.383073384516622	1.96603590056192e-10	5.39195803366876e-08
FLNA	25794.6937785891	-1.59792735241432	0.312665039754202	3.34213869179066e-10	8.97503494524616e-08
LRAT	36.0676223220412	-8.28654409286448	1.45350076844939	3.79868234998517e-10	9.99286030434873e-08
ADRM1	5370.14381646381	1.43235491662853	0.27073247439061	4.08747463656328e-10	1.05375096130601e-07
RABGAP1	1626.16619623591	-1.30877857002565	0.242145033088784	4.87872292867616e-10	1.23307330491443e-07
ADCYAP1R1	60.5198527235913	-8.28252326663026	1.47223661527819	5.85738110069269e-10	1.45195466130632e-07
SEZ6L	30.9584401216063	-6.81658731374946	1.17526067943813	9.6807989212664e-10	2.35444336028536e-07
MAPRE3	1442.35832197997	1.62096061629528	0.340923697969632	1.75766200335553e-09	4.19560430060236e-07
STK4	286.495850609183	1.8202203472677	0.402652287916749	1.99143948406497e-09	4.66720999083591e-07
MBNL1	940.868074576794	-1.43234442159941	0.289445506916962	2.38113387202832e-09	5.48085993043661e-07
WBP2	3508.1978481596	1.0632699387715	0.199261842261523	2.64964904817465e-09	5.99192565455636e-07
ALOX12E	54.7266622649885	-7.76402473760258	1.42752887415439	3.05397713680338e-09	6.7872009126544e-07
ACTN1	13594.205614594	1.02277376653816	0.192670525265639	3.76742143316707e-09	8.23085801246163e-07
CLTC	2816.5805852992	-1.32397234121546	0.265278737387584	3.8827505218514e-09	8.34144237111077e-07
MLLT11	982.51366446067	1.31820571286074	0.264005002711635	3.97813449350735e-09	8.406254692018e-07
FBN1	1010.47771652953	-2.41809178032498	0.548394848122744	4.16406206503272e-09	8.65721935778576e-07
CAV3	35.559428835484	-6.4689997340554	1.16110598065529	4.43680459949937e-09	9.07784306151537e-07
GCNT1	342.855948332929	-2.4694951162804	0.558244024134967	4.63144342759709e-09	9.32801652839477e-07
IQGAP1	5918.25468235283	-1.09012867807659	0.209638596144565	4.81280791700402e-09	9.5441683154126e-07
BICDL1	50.0000394356677	-6.09073683495795	1.09244667963048	5.32160205486875e-09	1.0393250073827e-06
MTOR	530.835420538541	-1.37816639812023	0.284500242797251	5.68960675578661e-09	1.09057971575833e-06
PAFAH1B1	3077.28492982014	1.89425169283083	0.445611778589649	5.9730535837703e-09	1.11583566224347e-06
MLPH	41.8816395061384	-7.80668799833916	1.47963277947888	6.85855274663945e-09	1.26295349863118e-06
CTNND1	1907.51772341084	-1.48204090967761	0.318832110700828	7.3007193683172e-09	1.28912702270697e-06
PRKAA2	31.0024157384727	-6.88978252123209	1.26896026729584	7.1601964628241e-09	1.28912702270697e-06
TBX1	28.6529017329196	-7.41795988581598	1.38872266728627	7.26773315970466e-09	1.28912702270697e-06
TBC1D22B	619.995122877934	-1.19765683054307	0.239148360531066	7.42113211219055e-09	1.29268098548833e-06
SEMA6D	1718.97567850736	-1.52760555758688	0.334241646571591	7.78447320496481e-09	1.33789146149329e-06
BOC	6759.08070991623	-1.16350350976832	0.233139008167984	9.75067463771509e-09	1.63228826078114e-06
SLC25A44	516.751102424954	2.38412320456526	0.566456877454534	9.7341073511255e-09	1.63228826078114e-06
CACNA1H	43.1472282879513	-7.04754623541398	1.3246529533471	1.11886215432891e-08	1.79417092569221e-06
EIF1AX	1786.37886835033	-1.08921665695462	0.216198567616386	1.12744643119526e-08	1.79417092569221e-06
SLC26A9	38.9011811670628	-8.13699891082064	1.59445262000043	1.12350772544881e-08	1.79417092569221e-06
CEBPB	172216.134333769	1.40725092273449	0.302212801488853	1.15327002531583e-08	1.81288422272209e-06
DAG1	16182.7718991742	-1.77781269897992	0.425272617771837	1.21506070667385e-08	1.88700391675012e-06
SNRNP200	1481.42768878801	-1.56158997298587	0.354542124562881	1.34485900046359e-08	2.06371815666376e-06
PPP1R1B	26.2516281547335	-7.38635066428221	1.41595373029581	1.4154499630992e-08	2.14648823815868e-06
EDEM3	409.571292545257	-1.3527577863385	0.289723830592934	1.54536466002976e-08	2.21755609370371e-06
LZTS1	53.6109661878474	-7.33557291089587	1.40841814779416	1.54328192881609e-08	2.21755609370371e-06
SLC6A2	32.2443107635805	-6.75449786821682	1.27428285833282	1.53224974588679e-08	2.21755609370371e-06
UNC13B	36.8857209926367	-7.93582827181702	1.56807660155245	1.73979169274616e-08	2.46438625488989e-06
ITGB4	13966.3748719172	-1.42072376718464	0.314300056869388	1.9805688176351e-08	2.77494913688222e-06
GBP5	21.3595222457244	-7.23271293996885	1.3997683079833	2.067895673657e-08	2.86614787456331e-06
SLC7A6	484.269982663409	1.73065656018005	0.422838553138898	2.20910208592957e-08	2.96617977996169e-06
ZDHHC18	1058.50867487727	2.1440188691666	0.543743708139019	2.18685855581624e-08	2.96617977996169e-06
STAT5B	1455.10359844382	-1.43127282474628	0.320021509227099	2.29619817403384e-08	3.05133963539137e-06
FAN1	31.7270895722235	-6.87194815413247	1.32267542522361	2.37910348360994e-08	3.10894930649603e-06
P2RY14	6.74259447840743	-19.9259683348675	4.09740552769023	2.69097385921213e-08	3.46866530452443e-06
TERT	38.141956278263	-6.76177047766985	1.30620964767536	2.80797234485747e-08	3.58363995299136e-06
ARNT2	43.6509499161049	-7.10257903561489	1.38659734667587	2.85245309069461e-08	3.60471768029936e-06
PCDHB6	36.7663009619886	-6.72505680963645	1.30021970949766	2.93642591169663e-08	3.67480873803588e-06
SORCS2	976.210087559182	-1.62911333747841	0.393981010679478	3.02209391114426e-08	3.74565293410091e-06
THADA	241.535222410611	-1.35280136699149	0.300708128727963	3.38517901709146e-08	4.11650542738764e-06
FNDC1	6168.87030807926	-2.45630098537973	0.618655764364972	3.51880719483678e-08	4.23901165807907e-06
CHST10	35.2871186978005	-6.31208311633064	1.22776498711287	4.26903353865591e-08	5.09517058456246e-06
SMG7	1149.19105151635	-1.23595955123809	0.268726259270798	4.35291273811499e-08	5.14761882516534e-06
GAS7	2176.75194746137	-1.2205247370336	0.264717108698509	4.51373402445665e-08	5.28927559774965e-06
PCDHB4	22.4108846936495	-6.42694638271696	1.26333569182757	5.17204941025317e-08	5.84804534194416e-06
GPR155	723.043221946938	-1.54480945208056	0.37926355823405	6.39108794214927e-08	7.16357596298296e-06
UBE2E3	2445.72594369618	1.06115896697145	0.225174120644657	6.59485777857012e-08	7.3282514453249e-06
SEMA3D	25.4526291668093	-6.81658769221758	1.36996943556812	6.83869028143182e-08	7.47039980742849e-06
RBPMS2	795.419272402601	1.19915266624307	0.264100580022208	7.05235279670196e-08	7.63906113861246e-06
GLMN	204.362180336761	1.24368068276196	0.277686576784344	7.22590586653974e-08	7.7618272183081e-06
ADGRL2	3913.26514238404	-1.36571217148429	0.317552757129427	7.4780529926322e-08	7.93787832821764e-06
AUTS2L	1740.82206882705	1.5459567533781	0.383300945200516	7.51296474819668e-08	7.93787832821764e-06
USP13	49.4795102472123	-7.33946021801748	1.51169640691125	7.89698474861887e-08	8.23821704231878e-06
LRP6	3228.50753160232	-1.23601879408747	0.276909639231922	8.09046002890468e-08	8.34288238180651e-06
GTF3C1	1286.67569484243	-1.09656948014559	0.236876351608926	8.15935202558907e-08	8.34714663570184e-06
MAST2	1330.70920814545	-1.41840013035021	0.339781381969921	9.15556532807688e-08	9.25368751239541e-06
SRSF10	1568.04159953175	1.11302323469101	0.242730571502449	9.18907681603268e-08	9.25368751239541e-06
RALB	564.727252561302	1.31904739044392	0.306183882691697	9.72185608955392e-08	9.71431976700388e-06
AGPAT5	383.396458144549	1.58387629357075	0.404504435602068	9.90222006504594e-08	9.74348218614063e-06
ZFP13	34.1646424744353	-6.87315507203205	1.40873341186447	1.00030402455974e-07	9.76812036104174e-06
CDKN1A	1665.90580038204	2.16448605053301	0.602448965880207	1.09069336117758e-07	1.05707048312624e-05
ATP8B1	357.900353507509	-2.43047749482	0.658609506454458	1.10023594735586e-07	1.05836129562813e-05
LMO4	3384.4557098645	1.35173194114956	0.320930897578828	1.1943730281153e-07	1.14040506165972e-05
MET	1228.95698072122	-1.57909355193558	0.40805503272954	1.22835798517192e-07	1.16423047271074e-05
HOMER3	924.850717437215	1.02088516129663	0.220783952246872	1.24147113385124e-07	1.16807028579142e-05
FAM168B	1480.06867656897	-1.31189824675142	0.308642502065336	1.30085914498055e-07	1.20633628624455e-05
SH3GL3	21.6791724829667	-6.42724902999168	1.31854129664238	1.29440682188363e-07	1.20633628624455e-05
TRIM29	12000.6932981485	-1.08806978719566	0.239894978963362	1.32296195602834e-07	1.21806997237181e-05
PCDHA13	25.7015930805328	-6.05605675848695	1.23621333263162	1.3456213035114e-07	1.23014600016042e-05
PRKACB	458.837408845218	-1.53304783899148	0.392392938481595	1.36746060534135e-07	1.24130754949647e-05
OCRL	514.538899317007	-1.570547909647	0.407703496348133	1.38355974368942e-07	1.24713881791305e-05
CASC4	1510.19171726916	1.47735538786452	0.371086911230192	1.40914421645781e-07	1.26137978820425e-05
ACSM3	13.2119312791516	-6.35804941540007	1.31132502129047	1.48033927630367e-07	1.31597057045203e-05
SMCR8	97.65513586734	-4.00865766454721	0.858662702109183	1.50358879033488e-07	1.32048285884153e-05
SPTAN1	2334.01151900361	-1.23457815424485	0.285777594203727	1.54006788131095e-07	1.33231375772471e-05
TRA2B	3853.59879674353	1.23445238784972	0.286062125193117	1.57328311518798e-07	1.34302114932272e-05
FCF1	515.647493620313	1.39851175070158	0.34661001752754	1.85206879084756e-07	1.57060307329112e-05
USP6NL	666.177855898573	-1.66225749844396	0.457464550898931	2.13762982356132e-07	1.80091819775852e-05
DLST	1505.2780416118	-1.14476309329505	0.262751323905098	2.18807701113001e-07	1.83144887490038e-05
XPO5	436.4798593084	-1.29178484248704	0.311612618690983	2.29244880475092e-07	1.90643000601544e-05
TIPARP	4509.47316862148	1.16062512015067	0.269656667949155	2.52542924674899e-07	2.0603027209237e-05
AQR	424.034715363841	-1.64817474062034	0.457092027380572	2.54525882480021e-07	2.06342051897325e-05
CALR	15637.2415206087	-1.13684731350409	0.262567177204754	2.57606623553762e-07	2.07534336100499e-05
ZC3H12C	110.479513113947	-2.13726099603315	0.633578066982577	2.76793019233359e-07	2.21606336516646e-05
TOP2B	1704.67663117375	-1.01507505949885	0.227919358427576	2.82935539824038e-07	2.25125870884682e-05
MRC2	3039.98883565211	-1.60754227546922	0.443473566597554	2.85007862410801e-07	2.25383518188664e-05
CTNNB1	2935.15803837431	-1.1310192788337	0.264785026368827	3.43185739761677e-07	2.68952048586484e-05
ZBTB44	471.895490014592	-1.92486984386188	0.576311840836846	3.44275314327152e-07	2.68952048586484e-05
RGD1561161	404.089935148609	-1.58041055968538	0.439159159039124	3.6119956613037e-07	2.80473639001233e-05
ECI1	1504.05798035153	-1.03076355999128	0.235477920484527	3.68422110349829e-07	2.84047351564431e-05
KIDINS220	1756.64868465658	-1.36156706287026	0.347357988777543	3.70209116080873e-07	2.84047351564431e-05
VANGL2	613.862294466149	-1.75535376233243	0.515049630977027	3.76175596732566e-07	2.86917363425016e-05
ERBB3	693.718650084918	-1.77852142430973	0.525606658878122	3.87726677260968e-07	2.93988051170228e-05
DPEP2	23.8633985408211	-6.94550433847166	1.55072241518424	4.3023034627735e-07	3.24308138217254e-05
BRPF1	1374.61744599586	-1.30572145895862	0.329587887749765	4.43982348283933e-07	3.32728631940691e-05
VASP	4838.74438760514	1.12652532653102	0.268161068701831	4.76645099663774e-07	3.49088371287844e-05
UGGT1	569.89225075982	-1.49834441859853	0.412293703405598	4.88748602710713e-07	3.55930479601191e-05
FAM20B	1200.98957554589	-1.07235222937613	0.252144746052166	5.11930331309e-07	3.6864703746218e-05
TSPYL2	1445.4775072495	1.08347150184651	0.255668368232887	5.14828163110467e-07	3.68674167916329e-05
SLC26A2	40.6240134503858	-3.77202995822617	0.906498555857882	5.17811015711968e-07	3.68761546548468e-05
BMP3	24.8040906005316	-7.22844978666895	1.66731354147275	5.76997829618163e-07	4.06420875616291e-05
ADCY4	103.797856913028	-5.02564756599537	1.12952215163497	6.40675920933108e-07	4.48821338088465e-05
CNOT1	922.393112204447	-1.2099706807199	0.301824236683855	6.56318101337917e-07	4.5729407168896e-05
GREM1	62.9403939535575	-5.72993157544876	1.28651798190742	6.81958658594561e-07	4.72604683294833e-05
WWC2	753.248931540085	-1.01013019281536	0.237194932163886	6.95136981629093e-07	4.7916126701599e-05
NRG2	7019.90791254637	1.42362658183214	0.391370523336352	7.44944604649168e-07	5.10762550740839e-05
MRPL51	290.113550523698	1.39411499857721	0.378886283017999	7.60978967402293e-07	5.1899570845585e-05
DANCR	172.943413617068	1.04066909945333	0.248924618976703	8.28684940505993e-07	5.62197309638013e-05
SLC3A1	94.4383661770507	1.53728085839047	0.447437898103717	8.34895516447011e-07	5.63445194083873e-05
CLIP2	1093.37896679653	-1.33063977065122	0.354844971346707	8.62888753568828e-07	5.79303960078239e-05
SPECC1L	857.123809055395	-1.20384083847493	0.30497881198326	8.70548849055256e-07	5.81418376389754e-05
ZNFX1	169.932365547662	-3.49195083298342	0.919676388440848	9.36956852107e-07	6.22545042456661e-05
USP40	237.854201696564	-1.31305251741584	0.349966015559603	9.54369179019512e-07	6.30862498336487e-05
PLCL2	38.2059126999466	-7.46581917992985	1.84298631090759	1.12118558079192e-06	7.37351129408565e-05
PRPF8	1534.6970158665	-1.08996756289905	0.26997592035628	1.15811572853311e-06	7.53945037413729e-05
PLA2G4A	50.7049859487637	-4.32087068186371	1.05528683915327	1.16719855739786e-06	7.56039668585848e-05
TMEM265	243.648365075741	1.75053506854057	0.561250580457637	1.18905076935518e-06	7.66343220849412e-05
CDH1	18840.968420073	-1.13516419827846	0.286904381180548	1.24808801649778e-06	8.00390772768977e-05
ZDHHC15	17.8870199852827	-6.22896812231902	1.4824656056712	1.29762393871243e-06	8.28038246039762e-05
MYBPC1	49.5763083882101	-6.3099264191525	1.50867837302221	1.33857311820735e-06	8.4579448498494e-05
CCDC126	505.197620938044	1.04166266594167	0.256285570304176	1.34656077686413e-06	8.46691142135541e-05
CLASP2	385.751316813288	-1.21336456163941	0.318621489722479	1.41431314532185e-06	8.80700311265637e-05
KIAA0895L	14.6572368092907	-6.28078587151074	1.51728385556005	1.50923691301841e-06	9.26383990895583e-05
CAVIN1	3004.78866910193	-1.323898397592	0.367122954740822	1.5289687944965e-06	9.32946187523112e-05
SCIN	35.8659539942318	-7.64428408171197	1.96900199243353	1.53440334953375e-06	9.32946187523112e-05
PCSK6	288.808016793334	-4.06259728482705	1.04631950683811	1.59937475871056e-06	9.67884537078831e-05
FAM43A	358.901963143267	-2.49998023323064	0.823952258673977	1.6641495706739e-06	0.000100237794233582
DLG5	603.564402064016	-1.15415662166124	0.299693779391289	1.69725821717605e-06	0.000101756550787903
ADGRL4	100.609832177002	-4.74492368276937	1.17703242664876	1.79051757811472e-06	0.00010635839438663
COL16A1	18478.1091441364	-1.18315940801381	0.312303438091147	1.82336523059418e-06	0.000107460556513555
DEXI	2496.42676360514	1.04985320796406	0.263800857517337	1.82574568475319e-06	0.000107460556513555
SOCS1	4128.50920429036	1.06341176054364	0.268635624227419	1.84721086105641e-06	0.000108229763631896
CLCA2	5369.61099702787	-1.25938689751613	0.345926369259678	2.00059981226184e-06	0.000116160953063311
LUC7L2	1781.4568498506	1.02850409612277	0.258199284864969	2.0196375287316e-06	0.000116740483163006
AGRN	3855.5553009429	-1.26801794464162	0.351180584097651	2.11534801345188e-06	0.000121726945952655
TMEM200C	6345.60266532504	1.40214597644598	0.414822747962269	2.13243285929409e-06	0.000122164709139115
LGR5	16.0234978201034	-6.28493301122865	1.57461828226367	2.17710693175588e-06	0.000124172160842183
TNS1	3464.1249772552	-1.30123725350894	0.367994137880811	2.25641833998608e-06	0.000128128777103174
TRPV1	24.0994670873117	-5.53743203269475	1.38133617298074	2.26880294884661e-06	0.000128266973730845
ANKFY1	958.046326076891	-1.19425939190769	0.322096662803444	2.31338321200925e-06	0.000129036325399524
F2R	826.193243663809	-1.17439431468875	0.314261052073431	2.33246422172918e-06	0.000129036325399524
MICAL2	607.409368424398	-1.75481906821217	0.597078662803123	2.32047778596474e-06	0.000129036325399524
UCP2	39824.1035209275	-1.42059007892631	0.426930960331725	2.30358441259729e-06	0.000129036325399524
CLVS1	304.909214550081	1.35822144738097	0.398043321489838	2.46735104958746e-06	0.000134581120701249
NCKAP5L	2132.08705849371	-1.4227134559321	0.430425773424925	2.45611089286783e-06	0.000134581120701249
NFATC3	455.674532237381	-1.33313531421967	0.385893546355713	2.47445505090737e-06	0.000134581120701249
