baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LPIN2	1797.23348868152	3.75346826263833	0.365306240680143	10.274853929815	9.14829124409388e-25	1.1792147413637e-20
HS6ST1	6410.00993993167	3.53381937604824	0.414628827358599	8.52285018039028	1.55674102402588e-17	1.00331958998468e-13
RO60	144.225095436406	-6.0828019120209	0.719416600689223	-8.45518703098231	2.78640358760459e-17	1.19722474147411e-13
MYO18A	1298.92166664162	-1.55085444208601	0.186017414500336	-8.33714653142442	7.61047289781468e-17	2.45247489132078e-13
NUDT3	2965.35930766515	1.59790600022504	0.195088749865627	8.19066194911617	2.59793337065748e-16	6.69747222955499e-13
PFKL	736.64201014362	1.75678195087479	0.216341932889318	8.1203950034669	4.64668824041485e-16	9.98263523649123e-13
MYO5A	84.794236486754	-9.14722643834514	1.13667670442553	-8.04734222381031	8.46113422477039e-16	1.55805743081843e-12
MAP3K12	2226.14820829878	3.23378568188711	0.404810954018197	7.98838482454144	1.36718111819e-15	2.20287057668363e-12
RAP1GDS1	1369.41747587837	3.47579902122664	0.439950229705284	7.90043688249698	2.77927549943494e-15	3.98054013196849e-12
TGFBR1	504.431068657405	-2.45789625824802	0.319093940282463	-7.70273561469794	1.33183736071983e-14	1.71673835796786e-11
MOB1A	3409.01262104256	3.19930478353345	0.418715092834925	7.64076776376137	2.15930233050034e-14	2.53030973092267e-11
SF3B3	2184.93263206366	-1.43679993798658	0.188874213846626	-7.60717891936969	2.80143374208813e-14	3.00920674462634e-11
PTHLH	1365.05676939224	3.60236428833515	0.476943865007967	7.55301525531724	4.25295155936337e-14	4.21696504616876e-11
ZFP644	1151.61730104779	2.6799801773856	0.361575516356497	7.41195146283981	1.24454310396815e-13	1.14586861501068e-10
MAP4	5474.6459546368	-1.61259597907453	0.219321111835615	-7.35267100179211	1.9428473503674e-13	1.66955348974905e-10
SLC2A12	92.950004402051	-6.43916628009507	0.879680597141282	-7.31989122076874	2.48172044861013e-13	1.99933603641153e-10
SSC5D	86.7854343456884	-9.53920961836313	1.30695988291313	-7.29877767717003	2.90393689662797e-13	2.20186744691380e-10
ZDHHC5	2084.23388418913	-1.47453336587361	0.202266437362431	-7.29005456911996	3.09829506623349e-13	2.21872352243054e-10
SNRNP48	590.322033410019	1.44235817214095	0.200935266401331	7.17822310624208	7.0623247515202e-13	4.79122979195239e-10
