baseMean	log2FoldChange	lfcSE	pvalue	padj
HSPA12A	8.23483787532011	-20.3743206595009	3.19905525112191	2.62041055192452e-11	3.51921137123463e-07
MAB21L1	53.8901166707764	-7.97982231346346	1.38566695601868	1.59172881353888e-10	8.32353206291668e-07
TMEM67	58.982472324789	-7.92745220971751	1.37925792005572	1.85931468270663e-10	8.32353206291668e-07
MARCO	46.1632987813148	-22.5144245869576	4.33621905062117	1.16572319198818e-08	3.91391561710031e-05
PRKAA2	30.3418671863281	-7.08308019819442	1.37685997357662	1.56660033056974e-08	4.20788848791033e-05
DDIT4L2	15.6896145670291	-6.15402407917625	1.42476123367133	7.69349470410521e-07	0.00172206056460222
EVC2	16.345013052732	-5.97133886376588	1.46476904746692	1.50277218163772e-06	0.00276134811901609
NR2F2	25.0484845924016	-4.83965767067577	1.13429179302394	1.64488346627913e-06	0.00276134811901609
CPZ	41.8853701930396	-6.54650368713228	1.81874849826022	2.47025700447648e-06	0.00331755515701191
MRGPRG	257.670598260005	-4.58711436335584	1.10665781037262	2.32843228660502e-06	0.00331755515701191
KRT80	16.7452669496317	-6.08587917163666	1.68268345406683	3.2211722067924e-06	0.00393275843065654
CATSPER2	34.6374918225838	-3.07298843451484	0.77986289149221	4.22130771550645e-06	0.00444264692114415
KLHL29	35.9443663689819	-2.97935395787556	0.758580573861506	4.30040282761533e-06	0.00444264692114415
TNNC1	14.2550941429659	-5.62098048957234	1.62567905149655	5.23875364354599e-06	0.0050254615309159
TONSL	33.9047222226249	5.4588967349792	1.61474233917005	6.30766890570206e-06	0.00564746622690524
TTC8	17.6183681937644	-5.48548803198177	1.69084302877848	7.5209050918384e-06	0.00631285971146186
CCN5	29.3650433516164	-6.2515567514192	2.29782168376742	9.17996041862996e-06	0.00685340160482372
ZFP9	16.5527179411718	-5.94863828606061	2.0580667946013	9.18549731100722e-06	0.00685340160482372
RIBC1	36.8312853326487	-3.85511349417682	1.17558392583471	1.15096650075098e-05	0.00772874005254284
SEMA3D	30.2585818724651	-6.089577630881	2.31287204826188	1.11550485439304e-05	0.00772874005254284
PROKR2	32.1422925913191	2.69850384684794	0.853682911241308	1.34758433037515e-05	0.00861812264616108
RAB17	37.5283971892036	-5.74421769172547	2.39069314385455	1.73648431303205e-05	0.0106004474200093
TMEM178A	22.146114202446	-5.40065699157249	2.29476280292901	2.22442867790383e-05	0.0129887291931515
CAMSAP1	504.911824917296	1.23380935268725	0.550845255144359	2.3842031511177e-05	0.0133416034664628
ATOH8	26.3340351430477	-5.09320817643218	2.15245871618078	2.57045870925868e-05	0.0138085041861377
CAPN12	11.4528467080714	-5.18290366961537	2.37908613478557	2.97922916438035e-05	0.0151547823323177
COL9A1	14.0399881197335	-5.20953967339025	2.50042347070139	3.21032320872028e-05	0.0151547823323177
MEIS2	23.2924892277362	-5.37151565382642	2.73259490994285	3.20802254043941e-05	0.0151547823323177
SEMA5A	87.5543298772	-3.03212870009687	1.19622870945485	3.27243996751463e-05	0.0151547823323177
