baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HSPA12A	8.23483787532011	-20.9401906791444	3.14112439009849	-6.66646336743378	2.62041055192452e-11	3.51921137123463e-07
MAB21L1	53.8901166707764	-9.05430737910317	1.41555087490629	-6.39631364694155	1.59172881353888e-10	8.32353206291668e-07
TMEM67	58.982472324789	-8.99347006801824	1.4112865564327	-6.37253293955479	1.85931468270663e-10	8.32353206291668e-07
MARCO	46.1632987813148	-23.6414189147016	4.14422583860824	-5.70466471553131	1.16572319198818e-08	3.91391561710031e-05
PRKAA2	30.3418671863281	-8.12617016639606	1.43721588992389	-5.6541054293704	1.56660033056974e-08	4.20788848791033e-05
DDIT4L2	15.6896145670291	-7.13410587471874	1.44327854504084	-4.94298616107875	7.69349470410521e-07	0.00172206056460222
EVC2	16.345013052732	-6.95553691245069	1.4457970554149	-4.81086670248796	1.50277218163772e-06	0.00276134811901609
NR2F2	25.0484845924016	-5.3299230270962	1.11207404713765	-4.79277710042315	1.64488346627913e-06	0.00276134811901609
CPZ	41.8853701930396	-8.06867056610498	1.71288647607467	-4.71056936861076	2.47025700447648e-06	0.00331755515701191
MRGPRG	257.670598260005	-5.02729831842912	1.06451814416826	-4.72260463193615	2.32843228660502e-06	0.00331755515701191
KRT80	16.7452669496317	-7.32992222642853	1.57423231742333	-4.65618838166529	3.2211722067924e-06	0.00393275843065654
CATSPER2	34.6374918225838	-3.23704817620454	0.703678948606908	-4.60017765575197	4.22130771550645e-06	0.00444264692114415
KLHL29	35.9443663689819	-3.13270876183728	0.681570492087873	-4.59630925664163	4.30040282761533e-06	0.00444264692114415
TNNC1	14.2550941429659	-6.68791396527955	1.46826026379979	-4.55499214285862	5.23875364354599e-06	0.0050254615309159
TONSL	33.9047222226249	6.47752489133294	1.43441200296919	4.51580499739591	6.30766890570206e-06	0.00564746622690524
TTC8	17.6183681937644	-6.58853292146049	1.47118425632986	-4.47838732171916	7.5209050918384e-06	0.00631285971146186
CCN5	29.3650433516164	-8.29709646783289	1.87055272019617	-4.43563893080905	9.17996041862996e-06	0.00685340160482372
ZFP9	16.5527179411718	-7.59574409836937	1.71248531230607	-4.43550904862405	9.18549731100722e-06	0.00685340160482372
RIBC1	36.8312853326487	-4.28246254262267	0.976243440582293	-4.38667484420519	1.15096650075098e-05	0.00772874005254284
SEMA3D	30.2585818724651	-8.11441749594245	1.84692262208248	-4.39347994275641	1.11550485439304e-05	0.00772874005254284
PROKR2	32.1422925913191	2.91309199988618	0.669332855554533	4.35223219017498	1.34758433037515e-05	0.00861812264616108
RAB17	37.5283971892036	-7.79803411559862	1.81504510715095	-4.29633075501859	1.73648431303205e-05	0.0106004474200093
TMEM178A	22.146114202446	-7.23837520978837	1.70672762433998	-4.24108399404831	2.22442867790383e-05	0.0129887291931515
CAMSAP1	504.911824917296	1.42009254094445	0.336077518220295	4.22549103690297	2.3842031511177e-05	0.0133416034664628
ATOH8	26.3340351430477	-6.67113467532946	1.58514884563644	-4.20852255842952	2.57045870925868e-05	0.0138085041861377
CAPN12	11.4528467080714	-7.10903761767174	1.70274382714899	-4.17504823939069	2.97922916438035e-05	0.0151547823323177
COL9A1	14.0399881197335	-7.33517180608515	1.76410644557208	-4.15800975303756	3.21032320872028e-05	0.0151547823323177
MEIS2	23.2924892277362	-7.92304766031804	1.9054153337962	-4.15817355921703	3.20802254043941e-05	0.0151547823323177
SEMA5A	87.5543298772	-3.48243267829162	0.83840730993437	-4.15362871605238	3.27243996751463e-05	0.0151547823323177
CAMP	21.2230094962933	-6.05287670465139	1.474947524161	-4.10379122341622	4.06434267725398e-05	0.0181947073851736
INHA	16.9112878555773	-7.43383511396007	1.82060682544258	-4.0831633772179	4.44267658615449e-05	0.0186453582975171
SGCD	11.5977070354996	-6.9159200057355	1.69141117525909	-4.08884611080812	4.33524328182735e-05	0.0186453582975171
AKR1C15	143.40082152253	-4.48315685599617	1.1167483169486	-4.01447379678703	5.95785617539233e-05	0.0242466692228846
ATP1A2	41.6589615374177	-2.90987229657962	0.727727586812124	-3.99857357246353	6.37253730642771e-05	0.0244523360072355
MPZL2	414.21686641591	-2.24487333958442	0.561314564870189	-3.99931425279081	6.35262830240424e-05	0.0244523360072355
LMOD1	50.5717736255528	-2.95509089320212	0.74084579821473	-3.98880698294196	6.64064261310214e-05	0.0247732861927672
MECOM	19.4853772825952	-7.68264365016612	1.92958249000416	-3.98150568320587	6.84800834305882e-05	0.0248564194722378
SARM1	13.2641844605926	-6.73886317727279	1.70050130817316	-3.96286856404263	7.4054556335504e-05	0.0261724392522584
PCDHB20	13.6559930471265	-7.15007140990908	1.81081567649184	-3.94853628822188	7.86304979351217e-05	0.027077117622274
HMGCS2	568.362768793967	-3.4850146985137	0.892026757925717	-3.90684995438658	9.35071785104327e-05	0.0313950351848778
MRGPRE	14.1771347078382	-6.27870351434073	1.61127645851398	-3.89672640046597	9.75016606940151e-05	0.031937739100503
CCL21	1838.40624916325	-3.42950836149166	0.886308041904153	-3.86943161897039	0.000109089371465866	0.0337572405550644
HSPB2	9.85727963509406	-5.73452876996869	1.4795548474546	-3.87584737384644	0.000106254274150845	0.0337572405550644
S100A8	641.922581084275	-2.98478583744898	0.772043801456336	-3.86608354580228	0.000110597065109667	0.0337572405550644
RAB6B	12.6604623241399	-6.62775274466509	1.72369017272097	-3.84509516243438	0.000120505663292547	0.0351824143047589
S100B	150.598475702243	-3.41038801257118	0.886189066623874	-3.84837518427504	0.000118903852963226	0.0351824143047589
FETUB	42.5630234303394	-6.35368812573514	1.65605392772767	-3.83664325137845	0.000124727453689681	0.0356402064479237
AGT	79.201030699738	-3.71269492770472	0.974049295742509	-3.81160886202846	0.000138065226371733	0.0386294997952577
ZBTB3	19.413405326904	-5.26246868606163	1.38362996831867	-3.80337865365576	0.000142735926562367	0.0391212957904609
COL6A4	24.6498322884078	-6.34938776379173	1.67454739430331	-3.7917038271905	0.000149617279983076	0.0401872014034542
COL26A1	11.6268699257108	-6.6805359933806	1.77361865439384	-3.76661351459668	0.000165476863723807	0.0427375823040524
PDGFD	33.1419292453998	-3.75879865180235	0.99734199759394	-3.76881617426153	0.000164023625116382	0.0427375823040524
AKR1C14	72.0774386933792	-3.87003456836727	1.03325634613388	-3.74547379539231	0.000180053641657896	0.0431358852493215
CLCA2	143.316349746333	-3.278171471615	0.874754970985629	-3.7475311148233	0.000178583689594003	0.0431358852493215
RGS4	78.8158065104068	-4.02607638586114	1.07266843108379	-3.75332793358458	0.000174502327866095	0.0431358852493215
STYXL1	28.4785879066651	-3.42912185680999	0.916561520008083	-3.74128935369199	0.000183078589665773	0.0431358852493215
TRPM1	13.6626306900825	-6.41007970449467	1.70511935787513	-3.75931436992347	0.000170379639342592	0.0431358852493215
CRYAB	473.835252689359	-2.48709501289888	0.668870410460315	-3.71835107967666	0.000200527451371422	0.0459857910443924
SFRP4	138.755965565072	-4.09290195152651	1.10128632960579	-3.71647394641826	0.000202022462518179	0.0459857910443924
SAMD14	9.06203831048546	-6.5425279862609	1.76319259616667	-3.71061448447828	0.000206756766321637	0.0462790561949931
MPO	15.7373319110843	8.55676022349862	2.31844984838073	3.6907247441539	0.000223616015341002	0.0479047344836109
