baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
IGF2R	1378.22008615474	1.71653076383439	0.218816547485458	7.8446113128097	4.3429652413095e-15	5.54162364791092e-11
MOB1A	1837.97659989954	-2.14838208414511	0.319063840869991	-6.73339253450696	1.65752096244795e-11	1.05749837404179e-07
ZBTB16	492.888553704662	2.47485251318898	0.411750659975169	6.01056113264817	1.84882274683462e-09	7.86365941653658e-06
CSDE1	7814.27831517053	-1.51275697372823	0.255470862017273	-5.92144623376247	3.19122641786206e-09	1.018001227298e-05
MAP3K12	641.410509969425	-1.92154685804229	0.327885076623065	-5.86042792136981	4.6167590047689e-09	1.17819689801702e-05
WNT5A	342.415821038818	1.4278750851587	0.25095374848423	5.68979381174068	1.27192861123699e-08	2.70496817989732e-05
CIRBP	2103.10304031495	1.19109236049101	0.220952800993494	5.39070948698263	7.01800507988246e-08	0.000127928206884715
PKD1	729.713052514483	1.42666654976255	0.273813833269189	5.2103523504599	1.88482328893171e-07	0.000276997690196974
ARL4D	155.45402507404	2.05565954362732	0.40178002835015	5.11638060276061	3.11454283498466e-07	0.00038308633415915
TMEM125	295.489250217182	-1.83105778934779	0.358657278967862	-5.10531333594338	3.30246839792371e-07	0.00038308633415915
WFDC2	10581.2836922054	1.46572955975179	0.295821282262737	4.9547806315368	7.24119372701688e-07	0.000769980266306129
COA5	2911.24539682929	-1.14844221316378	0.23441068894253	-4.89927408321105	9.61913823041134e-07	0.000944155414000374
EMP2	493.627446492927	1.86730637084287	0.387723213519896	4.81608091991904	1.46405171669834e-06	0.00124541999367138
ALK	382.176273001968	1.86970436153994	0.390643154183809	4.78622072731931	1.69951144305189e-06	0.00127563329490248
ST6GAL1	935.061172208119	1.84356624057953	0.38422990486584	4.7980810895582	1.60192928093988e-06	0.00127563329490248
ABHD2	3172.681387531	1.52671248726805	0.330510911464825	4.6192498774145	3.85129828444753e-06	0.00258645084787108
AFF1	877.666405638567	1.71630203208942	0.373965759321549	4.58946304389779	4.44387663177506e-06	0.00283519329107249
PFKL	559.257817531138	-1.20600638105395	0.265090422711301	-4.54941513434969	5.37952236978115e-06	0.00312012297447307
PTPN21	321.019628073892	1.5035474290654	0.330355822686012	4.5512968920619	5.33162510104661e-06	0.00312012297447307
SYNM	452.314326811307	2.64828223423572	0.591502234885989	4.47721424881205	7.56233475324998e-06	0.00419545180223781
PHLPP2	105.734133692596	2.08859632309582	0.467996804633662	4.46284312716779	8.08792665226857e-06	0.00430008100345613
OLFML2A	516.280281844479	1.92879980367826	0.433681304592457	4.44750507631591	8.68734067095553e-06	0.0044340186784557
SERINC5	3142.50252178841	1.03570569187972	0.236339434617271	4.38228048381745	1.17443475372777e-05	0.00535206694913086
SLCO2A1	493.646201704564	1.76986574557338	0.405125601668338	4.36868402857026	1.24997461633876e-05	0.00549988831189054
DOPEY2	357.551001088517	1.24176814191856	0.284978194117534	4.35741459364578	1.31607827481839e-05	0.00555877388097699
SLC38A2	9441.63916087175	1.07295690272737	0.246556960060348	4.35176075526218	1.35048581747874e-05	0.00555877388097699
ARHGAP35	455.475066515249	1.55755964830586	0.359249463447475	4.33559352701325	1.45367348925672e-05	0.00579652303841119
RNF24	23.7720777373231	3.52446637134636	0.81625727955876	4.31783759803228	1.57565293928928e-05	0.0060925246985852
TNRC6A	421.189374424748	1.24928683336877	0.290097691633359	4.30643493346951	1.65906700120038e-05	0.00622638086332848
VIPR1	964.933331978372	1.41270128085594	0.328961952801061	4.29442149411811	1.75149443754723e-05	0.00638544829231504
F5	139.854746727164	2.06338668516622	0.481447930288685	4.28579407108257	1.82087602713378e-05	0.00645399391839639
DIP2C	446.483942160352	1.62652933192869	0.38018273841992	4.27828296121153	1.88340507264545e-05	0.00649520235863674
KIF1B	742.960616170047	1.50961334782203	0.353491869315648	4.27057445690223	1.94970114485855e-05	0.00654689121273554
SPTBN1	2554.97016923158	1.06411326782567	0.250741170730546	4.24387133842171	2.19696345600968e-05	0.0071880137688932
ACSS2	439.930287527197	1.22594326646534	0.290389413305745	4.22172162720879	2.42443412793682e-05	0.00722513394755152
LPIN2	286.485398146288	-1.62508940531388	0.385022949614236	-4.22075984546401	2.4348021923567e-05	0.00722513394755152
NR1D1	2081.09326121135	1.24078836302244	0.293024472174975	4.23441889959801	2.29143459725658e-05	0.00722513394755152
SCNN1A	1658.86727861891	1.46046357705796	0.345721243996453	4.22439639570701	2.39582035259013e-05	0.00722513394755152
SORT1	3899.62033552129	1.07256998651405	0.255202609357309	4.20281747594652	2.63613145679789e-05	0.00731239943233503
PPL	1695.56892993062	1.57016410022735	0.374854061044022	4.18873439933988	2.80514473843435e-05	0.00761566954519623
STK4	162.338849445309	-1.42535765286088	0.341023994642635	-4.17964036329626	2.91970463406294e-05	0.00776154815221732
RAP1GDS1	256.3668524184	-1.37775669227121	0.331086196197828	-4.16132326896523	3.16408813560094e-05	0.00823954379801388
ABCD3	210.424639342976	-1.52641436304849	0.367917836464243	-4.14879141962132	3.34235169434535e-05	0.00825334895078162
SCN7A	20.9320692195557	5.37377647512234	1.29392667602059	4.15307650325993	3.28035009228423e-05	0.00825334895078162
URB2	204.55339510275	1.58123093015709	0.381262813483891	4.14735157543472	3.36343374169784e-05	0.00825334895078162
LOC310926	1549.06415033149	2.0676261102992	0.499800466085598	4.13690312554667	3.5202463858745e-05	0.00847515922335068
PRDM2	741.912440660102	1.15516046583617	0.281375017589889	4.10541232740088	4.03594335247602e-05	0.00919618521028465
PER1	481.786753634253	1.4243378975532	0.34823558820292	4.09015604896541	4.31083052971626e-05	0.00965021009810167
LPIN1	2693.38401827708	1.65307942464917	0.408376706813156	4.04792780065565	5.16730794018499e-05	0.011368077468407
LTBP3	1570.76614895449	1.05523344492474	0.261261226732566	4.03899751265006	5.36801343526373e-05	0.0114159752389942
CNOT1	1383.77714422191	1.62076793181749	0.401903922031821	4.03272484534043	5.51338211298217e-05	0.0115329107805988
ENDOU	1120.20017485637	1.00728010285216	0.250174657606736	4.02630751047359	5.66595811494139e-05	0.0116609073462342
SHANK2	381.979107741697	1.4692504137959	0.365983267968158	4.01452892082413	5.95646401870067e-05	0.0118876593376008
ATP13A3	396.415397305039	1.38170483456907	0.348611926603619	3.96344682762418	7.38753237256911e-05	0.0140693900110421
LAMC1	1645.60590474651	1.57635802359471	0.397029718281982	3.97037791129564	7.17587201335023e-05	0.0140693900110421
PLXNA4	13.8598154716686	3.46786324119055	0.874838205731482	3.96400525088059	7.37026300681402e-05	0.0140693900110421
LAMA3	757.741432864157	2.15212547434835	0.544231108807571	3.95443303317175	7.67163547818722e-05	0.0141869664785027
TSHZ3	16.3494295640182	3.99407162291859	1.01217173311338	3.94604145942021	7.9453861921245e-05	0.0143682086524105
FASN	23762.5852220403	1.72277146422083	0.437526598499905	3.93752395883472	8.23267141576872e-05	0.0143902585294807
AQP5	27824.8602034469	1.11269874170797	0.283212760447363	3.92884395445441	8.53552017961476e-05	0.0146956418440966
EVPL	542.593823611633	1.37237869546198	0.349563311852076	3.92598035586391	8.63772051964927e-05	0.0146956418440966
POLDIP3	795.547011478421	-1.09098353556313	0.278240039346673	-3.92101560266035	8.81765527008357e-05	0.0148043791113508
CTNND1	2038.75964800236	1.12072364546622	0.287439233702519	3.89899329687921	9.65934483397767e-05	0.0156179089171404
KHSRP	972.869509844727	1.12181429539085	0.28741530108624	3.90311264275468	9.49634789665781e-05	0.0156179089171404
LOC257642	565.924723884257	3.33883480308911	0.856387847301846	3.89874145646568	9.66939501923272e-05	0.0156179089171404
RN5-8S	323.723149064949	1.99828425626984	0.514847068989865	3.8813161745108	0.000103892666789644	0.0161667125394617
LOC100911498	865.05367092035	1.50528356950932	0.389205901395341	3.86757642706016	0.000109922383148084	0.0164096991834402
NR1H4	269.712495872672	2.61239766397158	0.675722460018722	3.86608085203975	0.000110598286032591	0.0164096991834402
WNK2	1198.50858635322	1.15450659923309	0.300167102755905	3.84621295482848	0.000119957513815915	0.0173938395033077
BSN	13.4654987657838	3.89175401432974	1.0132203882644	3.84097483568815	0.00012254667808551	0.0175243043120597
SLC7A7	838.450888588064	1.56405150874836	0.407425433207208	3.83886567030516	0.000123604027279418	0.0175243043120597
ETNK1	636.108783689798	1.02239688479036	0.268440884657962	3.8086481725504	0.00013972860587323	0.0193797501189393
BPIFB2	291.979295012465	2.63778151884836	0.696186273473062	3.78890193523821	0.00015131462490438	0.0206310169994866
OLR1595	17.6991205542006	5.68479892611461	1.50185918775423	3.78517438416797	0.000153600831892729	0.0206310169994866
S100A6	13731.9021291281	1.81086045167808	0.481951495186179	3.75735000257346	0.000171722236425359	0.022589440585439
PAFAH1B1	3489.22305947581	-1.17182382624286	0.312493480412019	-3.74991447724869	0.000176894889979283	0.0226394961344725
ADM	720.504306251344	1.13938909984056	0.304249700568732	3.74491444925239	0.000180455256322626	0.0227981096106604
CEMIP2	746.942005373132	1.67464742455436	0.44834982700173	3.73513565456979	0.000187614026566466	0.0230187978748856
DYNC1H1	953.962666986467	1.05443457087614	0.283531054739593	3.71893855452474	0.000200061706542717	0.0243122607189055
ANG	124.604374532743	1.78426261599103	0.482654542537391	3.69676954993706	0.000218360392409219	0.0260399869826321
ARHGEF9	16.0691630051956	3.79339187421926	1.02974799190539	3.6838060419037	0.000229777108517919	0.0268986780246665
POU2F1	199.648685635339	1.82704782418187	0.495905738168949	3.68426433404047	0.000229364122706585	0.0268986780246665
FCRLA	66.4972958396337	-5.51097021319921	1.50074903803763	-3.67214642389863	0.000240521798964047	0.02715980667948
XPNPEP3	14.1904455178818	2.89164292117537	0.787105873512021	3.67376615838607	0.000239001474808139	0.02715980667948
LOC690617	166.47774935642	-1.09584854108302	0.300725032623258	-3.6440216882639	0.000268410787449893	0.0297819273727012
TNFSF10	1144.6197703935	1.45548479369051	0.399676420789478	3.64165789619387	0.000270887898658343	0.0297976688524177
PRSS22	2238.04093975675	1.60840883871176	0.444725977409823	3.61662893649583	0.000298464679630498	0.0322746551871623
IMPA2	592.068538903791	-1.22203804281871	0.338752548639113	-3.6074652359903	0.000309202950557429	0.032606856604238
PPIC	1315.54170910971	1.43680376603221	0.39941882759874	3.59723595071897	0.000321616715797511	0.0336379450293135
ITGA10	15.0764306490902	3.16021060079168	0.880373269980843	3.58962579686279	0.000331152994532896	0.0343537578068273
MYO5B	1090.7300186438	1.20327668048852	0.337198438612044	3.56845270530129	0.000359095656745908	0.0347125801521044
NUP205	206.055808859522	1.44195466073772	0.402420907659466	3.58320016006207	0.000339410322517068	0.0347125801521044
PCDHA13	27.4966424710548	3.70896142446601	1.03692456265543	3.57688645639546	0.000347711114792328	0.0347125801521044
SCN1A	5.89815314652957	5.81163488533231	1.63074922682959	3.56378208845204	0.000365549456606519	0.0350707598969863
KIF13B	252.172805436963	1.06870387888567	0.301569299771182	3.54380860285367	0.000394391443974365	0.0367331009132328
DSCAM	19.0763449694605	2.93741814733038	0.831404563196871	3.53307917391694	0.0004107494418514	0.0376100471153814
CCDC8	55.6965102259427	2.41778323503846	0.687727447788594	3.51561253344316	0.000438740778488969	0.0391491771574772
KIDINS220	745.607540883616	1.42252082209759	0.404551482179262	3.51629121325837	0.000437620699128403	0.0391491771574772
ZFP13	7.51194166257031	6.87933013855125	1.96153822352795	3.5071099079468	0.000453002002415688	0.0398641762125806
EDEM3	473.997269889797	1.17134259008874	0.335740420394183	3.48883398881048	0.000485132341009404	0.0410168499683978
