baseMean	log2FoldChange	lfcSE	pvalue	padj
IGF2R	1378.22008615474	1.63803610011766	0.214260040949466	4.3429652413095e-15	5.54162364791092e-11
MOB1A	1837.97659989954	-1.95005117488552	0.304846265919196	1.65752096244795e-11	1.05749837404179e-07
ZBTB16	492.888553704662	2.11506798801868	0.384675060248919	1.84882274683462e-09	7.86365941653658e-06
CSDE1	7814.27831517053	-1.40244155203767	0.269301719856682	3.19122641786206e-09	1.018001227298e-05
MAP3K12	641.410509969425	-1.7289366512848	0.321922432295311	4.6167590047689e-09	1.17819689801702e-05
WNT5A	342.415821038818	1.30984795212639	0.279740845875123	1.27192861123699e-08	2.70496817989732e-05
CIRBP	2103.10304031495	1.03879716383381	0.281945223087754	7.01800507988246e-08	0.000127928206884715
PKD1	729.713052514483	1.25872176725508	0.330272722649607	1.88482328893171e-07	0.000276997690196974
ARL4D	155.45402507404	1.73614892622011	0.42124879115015	3.11454283498466e-07	0.00038308633415915
TMEM125	295.489250217182	-1.5800749014161	0.392477447119468	3.30246839792371e-07	0.00038308633415915
WFDC2	10581.2836922054	1.25373887894773	0.370505457771543	7.24119372701688e-07	0.000769980266306129
EMP2	493.627446492927	1.54508836776411	0.452861450809851	1.46405171669834e-06	0.00124541999367138
ALK	382.176273001968	1.53874831760906	0.459959275387337	1.69951144305189e-06	0.00127563329490248
ST6GAL1	935.061172208119	1.52384889659123	0.453207017662168	1.60192928093988e-06	0.00127563329490248
ABHD2	3172.681387531	1.22772283541578	0.437693440484987	3.85129828444753e-06	0.00258645084787108
AFF1	877.666405638567	1.36930854635541	0.47983839713451	4.44387663177506e-06	0.00283519329107249
PTPN21	321.019628073892	1.18700679866653	0.445374073253444	5.33162510104661e-06	0.00312012297447307
SYNM	452.314326811307	1.76550157128216	0.714474165708769	7.56233475324998e-06	0.00419545180223781
PHLPP2	105.734133692596	1.54833146544309	0.589784932031035	8.08792665226857e-06	0.00430008100345613
OLFML2A	516.280281844479	1.45359692560078	0.55952907130032	8.68734067095553e-06	0.0044340186784557
SLCO2A1	493.646201704564	1.31817442721361	0.54475073955342	1.24997461633876e-05	0.00549988831189054
ARHGAP35	455.475066515249	1.15244097917894	0.498461045235682	1.45367348925672e-05	0.00579652303841119
RNF24	23.7720777373231	1.60795186771157	0.993666794104714	1.57565293928928e-05	0.0060925246985852
VIPR1	964.933331978372	1.02015859396171	0.461656366712161	1.75149443754723e-05	0.00638544829231504
F5	139.854746727164	1.43551197152438	0.63978751118224	1.82087602713378e-05	0.00645399391839639
DIP2C	446.483942160352	1.17819170344567	0.528401677402063	1.88340507264545e-05	0.00649520235863674
KIF1B	742.960616170047	1.08820675806648	0.495864767763338	1.94970114485855e-05	0.00654689121273554
LPIN2	286.485398146288	-1.14969179118293	0.539094299170637	2.4348021923567e-05	0.00722513394755152
SCNN1A	1658.86727861891	1.03072802234305	0.487000334304927	2.39582035259013e-05	0.00722513394755152
PPL	1695.56892993062	1.09597163704684	0.527982534779159	2.80514473843435e-05	0.00761566954519623
ABCD3	210.424639342976	-1.04602578353096	0.519789916563227	3.34235169434535e-05	0.00825334895078162
URB2	204.55339510275	1.08330943918397	0.538190738098224	3.36343374169784e-05	0.00825334895078162
LOC310926	1549.06415033149	1.33462404555604	0.683885724027497	3.5202463858745e-05	0.00847515922335068
LPIN1	2693.38401827708	1.07515889637699	0.577239092744447	5.16730794018499e-05	0.011368077468407
CNOT1	1383.77714422191	1.04740915655496	0.56832046617649	5.51338211298217e-05	0.0115329107805988
PLXNA4	13.8598154716686	1.11634963640716	1.00023288423165	7.37026300681402e-05	0.0140693900110421
LAMA3	757.741432864157	1.20929450319585	0.748083010943377	7.67163547818722e-05	0.0141869664785027
FASN	23762.5852220403	1.04420072890734	0.615716459897526	8.23267141576872e-05	0.0143902585294807
LOC257642	565.924723884257	1.06290297737097	0.976896638795651	9.66939501923272e-05	0.0156179089171404
RN5-8S	323.723149064949	1.1064719482068	0.712159431096593	0.000103892666789644	0.0161667125394617
NR1H4	269.712495872672	1.15230489248639	0.873029248684797	0.000110598286032591	0.0164096991834402
BPIFB2	291.979295012465	1.06000846128945	0.874201052816074	0.00015131462490438	0.0206310169994866
