baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HP	326.793386531216	4.60323261499374	0.754510068778076	6.10095584602157	1.05436033603494e-09	1.21409592694423e-05
LOC24906	269.60356562022	4.25106915465229	0.774908145300543	5.48590072311544	4.11367888826432e-08	0.000236845061991818
ZFP362	538.87447125044	-1.47066323137788	0.292492713633682	-5.02803373495225	4.9553471363755e-07	0.0019020274091788
SERPINB1A	929.291324025922	2.43454843349024	0.504343895104726	4.82715951778243	1.38494187111963e-06	0.00398690141148562
PGLYRP1	145.189652325819	5.27499503035297	1.11675362404961	4.72350831620729	2.31810475330669e-06	0.00533859524686531
IGF1R	912.23965683931	-1.15491828163414	0.253834957764809	-4.5498787550934	5.36768351029937e-06	0.0102614394599317
IL17F	284.62833409709	-2.96325297102267	0.655854038895938	-4.51815921727188	6.23795711849954e-06	0.0102614394599317
ALDH7A1	397.413273657489	-1.32464823029833	0.310919706120651	-4.26041902208766	2.04044001236379e-05	0.023495666742369
ARHGAP8	31.3647789154201	3.75253267212118	0.874348635403901	4.29180365837447	1.7722762710915e-05	0.023495666742369
ORM1	66.2779198471358	5.31186786554882	1.24144080585104	4.27879270643708	1.87909761840507e-05	0.023495666742369
CAMP	84.8610849117278	5.55877080010857	1.35075906877794	4.11529408063697	3.86686081189517e-05	0.0342514632684407
DGAT2	1172.30451985473	1.94005485992122	0.470167384958116	4.12630676220565	3.6863547629641e-05	0.0342514632684407
OLFM4	48.8794767630385	8.07534871697432	1.95635544341798	4.12775129598419	3.66328003877167e-05	0.0342514632684407
CYP4F18	91.1874259448723	2.71202348107732	0.665451835469785	4.07546171867228	4.59231368730187e-05	0.0377717800780579
ASS1	156.969790443171	2.03573793740151	0.502531023900932	4.05096967267603	5.10058187656457e-05	0.0391554668724274
NPW	14.7621591843947	-6.61865802648271	1.64753033710117	-4.01732088170725	5.88635462468541e-05	0.0423633584395328
