baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
IL17F	284.62833409709	-4.63626071357062	0.61159094503589	-7.58065623960236	3.43811452276343e-14	4.140521319764e-10
KRT19	516.160819581092	-3.33517113387353	0.532435675053719	-6.26398885374658	3.75252309664905e-10	2.25958178264722e-06
HP	326.793386531216	3.90650810082997	0.696191534916085	5.61125481265848	2.00864736048879e-08	6.04753504059162e-05
KRT8	1458.21447363554	-3.12301903455841	0.553876069784557	-5.63847980609305	1.71557934431849e-08	6.04753504059162e-05
MAB21L3	147.850778758733	-2.24436338268092	0.41675707286444	-5.3853036428513	7.23224505484747e-08	0.000174195854391056
MMP13	433.09695068124	-2.59835338801991	0.495599153049408	-5.242852761213	1.58112709939172e-07	0.000317358560966241
COL1A1	278.624607717891	-5.75887709410571	1.12042021833517	-5.13992607404284	2.74846581308865e-07	0.000472853911243237
ALDH7A1	397.413273657489	-1.44421062507933	0.288648014986027	-5.00336240022035	5.6338884359936e-07	0.000753876871496344
IGF1R	912.23965683931	-1.1781821281186	0.235451586917291	-5.00392519559648	5.61745628540087e-07	0.000753876871496344
ZFP608	322.763560401239	-1.50744563709774	0.312355391645444	-4.82605928188635	1.39261071436405e-06	0.00167712108330863
RAPGEF2	1078.23805019531	-1.27826396816807	0.266641286199838	-4.79394615284768	1.63532185609656e-06	0.00179038010117916
CAMSAP1	797.342937637331	-1.35318128402415	0.292553209887003	-4.62541937087892	3.73841216099026e-06	0.00363880712221555
CDCP1	112.26537628194	-4.14131578511644	0.897329167250997	-4.61515788883083	3.92796583814682e-06	0.00363880712221555
ITGB4	78.1457198769618	-6.84940606769237	1.49121144763035	-4.59318232741346	4.36537339760135e-06	0.00375515655909379
KRT14	72.1630538963289	-9.23252880068781	2.06279596252787	-4.47573534581372	7.61487651054259e-06	0.00611373052109763
CLDN3	254.834479629908	-2.80860142224806	0.640383696360352	-4.38581031686295	1.15554788113285e-05	0.00809199314936834
COL14A1	27.3035527740432	-7.5042884938918	1.73232915920906	-4.33190681689968	1.47823506838913e-05	0.00809199314936834
DKK4	173.276625793286	-1.13165875995431	0.257611992129858	-4.39288074517841	1.11858492872346e-05	0.00809199314936834
OSMR	89.8730211747326	-2.99372510238928	0.690138977330292	-4.33785831655255	1.43877851446567e-05	0.00809199314936834
PGLYRP1	145.189652325819	4.4762040157576	1.02868755549011	4.35137374012943	1.3528721889147e-05	0.00809199314936834
TPBG	196.321296920934	-2.06567865674316	0.475790544224448	-4.34157147891679	1.41467239897447e-05	0.00809199314936834
POSTN	283.080362819701	-6.08318051588484	1.41265800872682	-4.3061947607315	1.6608684000477e-05	0.0086964513659889
MGC94207	427.709312097813	-1.0459149699362	0.244233789054546	-4.28243354035919	1.84860355325975e-05	0.00899112367599093
NGP	41.2401297112445	7.14444258281565	1.6691474798905	4.28029438314483	1.86646260815223e-05	0.00899112367599093
ORM1	66.2779198471358	4.85536288231297	1.14009180389881	4.25874729184872	2.05575712895287e-05	0.00952210888614592
RETNLG	303.145514074675	3.9854445018823	0.938801658992121	4.24524654777559	2.18353197716646e-05	0.0097393613337095
LOC24906	269.60356562022	3.02277090193002	0.714298113178223	4.23180580511462	2.31822527487778e-05	0.00997085249476898
PRKACA	696.036084070431	-1.3233262743418	0.315380169119478	-4.1959717316293	2.71704136304722e-05	0.0109071097117259
ZFP362	538.87447125044	-1.14006126472547	0.271692176436369	-4.19615051003307	2.71489867430548e-05	0.0109071097117259
SOX9	294.324778542322	-2.22828466934066	0.53830285127172	-4.1394628768479	3.48119925717901e-05	0.0135238976303893
SFRP1	25.7223964577157	-4.25548145229042	1.04220154950891	-4.08316553961719	4.44263522936915e-05	0.016719580021029
ERBB3	61.1548979386034	-1.87779875495169	0.464045226753708	-4.04658564874827	5.19701147321019e-05	0.018965942173294
BEX3	3746.82153943104	1.08098847665389	0.270207375915438	4.00058833698228	6.31851942839032e-05	0.0223805674929719
F13A1	40.7847803189621	-4.83967616458255	1.21285298071132	-3.99032384101836	6.59831411409069e-05	0.0227038562502841
ITIH1	202.447730403425	-2.6041257228692	0.654727021228859	-3.97742209872674	6.9666435316718e-05	0.0227819898989478
THRB	159.659960406529	-1.72904181783618	0.434836061433835	-3.9763073286397	6.99936582463728e-05	0.0227819898989478
CD276	59.8033815203789	-2.89331261021215	0.72935265345547	-3.96695973683573	7.27952843587789e-05	0.0229983557098121
MSLN	26.5906139520518	-8.05843690504154	2.0341840014819	-3.96150834888633	7.44777773547017e-05	0.0229983557098121
MAZ	1063.39803138471	-1.36723094776961	0.346592232522946	-3.94478242578357	7.98724665805553e-05	0.0233136499253258
SERPINB1A	929.291324025922	1.83798970010937	0.466433726422891	3.9405162962915	8.13064267095976e-05	0.0233136499253258
TNFRSF11A	375.397721302786	-1.59389083658901	0.404239769804283	-3.94293425745988	8.04907253067198e-05	0.0233136499253258
SLC16A2	33.076784458633	-2.74286919886837	0.704874272681501	-3.89128856758224	9.97132576262219e-05	0.0271811947867758
SPON1	114.36943782074	-1.94670215570448	0.503124406643215	-3.86922623907799	0.000109181296386907	0.0285841380953809
EFS	18.0189706778934	-6.66928138046865	1.7373778946923	-3.83870509740187	0.000123684875646991	0.0295458946119581
IGSF3	90.8824243525478	-2.05472867381892	0.536329570523232	-3.83109339247205	0.000127575065998657	0.0295458946119581
OLFM1	382.83759036584	-1.80705451047022	0.47040094928689	-3.84151969337997	0.00012227492375338	0.0295458946119581
RTP3	200.466795586939	-2.39057965837918	0.623471205457865	-3.83430644022058	0.00012591908193647	0.0295458946119581
MFGE8	2572.65233407653	-1.54228506403474	0.403424320259725	-3.82298484890998	0.000131845883925937	0.0299588675494351
DDIT3	4857.11734025291	1.37138660693032	0.359847491947519	3.81102171786244	0.000138393606671943	0.0303031673663675
DDR1	80.9777831617683	-2.35019704939735	0.619039259628987	-3.79652342374199	0.000146739503299733	0.0315568542542622
RGD1311517	129.989706968968	1.11869530210295	0.295563217253625	3.78496117513495	0.000153732576856817	0.0323328616082845
SGSM2	280.187170770792	-1.17085236125522	0.309604368465088	-3.78176951139256	0.000155717510029104	0.0323328616082845
RB1	777.769200723087	-1.36521634509517	0.362448220049478	-3.76665208870056	0.000165451309981822	0.032664428296903
NR2F6	306.230464571562	-1.19570396250273	0.318593982024186	-3.7530651235338	0.000174685450013777	0.0328708886643112
ZC3H12C	482.521356982904	-1.44139237280061	0.383330240731805	-3.76018435187605	0.000169788188141667	0.0328708886643112
CYP4F18	91.1874259448723	2.27810133502976	0.612507806587133	3.71930171424793	0.000199774305254451	0.0353806170320494
B4GALT5	1385.17825340547	-1.57198847999971	0.424880900990386	-3.69983323876277	0.000215741184437574	0.0371167297740243
