baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LBHD2	85.7596101595557	-21.4846993274058	1.91196919004666	-11.2369485027536	2.68503722945349e-29	3.48947438339776e-25
SERPINB2	127.070359986766	-24.3642268178068	2.68542704640194	-9.07275691977972	1.16042960897381e-19	7.54047159911179e-16
LY6D	418.841777943137	12.9171607555624	2.05767032183398	6.27756575895476	3.4391482444717e-10	1.48983901950514e-06
CHRM3	39.1594169512306	12.8733400278889	2.19638891740822	5.86113867442005	4.59703858733634e-09	1.49357783702558e-05
IL36RN	81.9642075272186	-7.72105196505636	1.47087059442958	-5.24930744709782	1.52672088029661e-07	0.000396825291206694
DSCC1	62.9476148173912	-8.19182804991162	1.65641450174755	-4.94551819080857	7.59415781261414e-07	0.00164489458221222
VCAM1	460.908450759932	2.87453066706353	0.596260232276247	4.82093306154243	1.42888302065925e-06	0.0026528233909268
FAS	305.341919111607	-2.22066525556006	0.468327616359957	-4.74169187975721	2.11940792013853e-06	0.00344297816626504
MYBL2	120.558140619221	-7.3065660954263	1.54981643223757	-4.71447194870515	2.42338385144765e-06	0.00349936628149041
AOC1	232.607873710062	-6.81360195303006	1.49328349412213	-4.56283216137444	5.04681590079835e-06	0.00655884194467754
GLYCAM1	313769.668619442	-3.53728443245817	0.837364713018581	-4.22430558329448	2.39678654157831e-05	0.0283169435403197
SSPO	26.9488807080984	-7.14636609915361	1.71975712840907	-4.15545077912522	3.2464683185133e-05	0.035159251889499
CTLA4	7.63871881412113	19.7855121740397	4.84928702495405	4.08008684002927	4.50188793337621e-05	0.0446564661333746
OLFML1	68.9596950899889	6.69796026188498	1.64786009621571	4.06464133530919	4.81063808762115e-05	0.0446564661333746
