baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CLDN5	71.0210966344114	-22.302085195618	3.22400405130547	-6.9175115293628	4.59645988833232e-12	5.64675097281626e-08
ANGPT2	132.105464097838	-22.2072266342829	3.28629995008414	-6.75751665142872	1.40376913853064e-11	8.62265193342444e-08
LRRK2	12.3499678486961	-20.9157697872874	3.23612561282715	-6.463213202968	1.02502710668707e-10	4.19748600188357e-07
DSE	114.801334551011	-10.5666630666826	1.7104037838497	-6.17787633917624	6.49695694195908e-10	1.61810828111463e-06
ITPRID1	57.7864358348503	-22.3382775507186	3.61710527700069	-6.17573331159483	6.58570728984384e-10	1.61810828111463e-06
CPEB1	10.8430351835628	-21.8709094097105	3.68667113099672	-5.93242755661731	2.98488103387684e-09	6.11154391686284e-06
DDR2	128.754863172526	-8.17454808459478	1.42478309340603	-5.7373982906079	9.61419801054395e-09	1.68729175085046e-05
IGFBP2	1601.29826502653	-3.29835609756765	0.584329283709872	-5.64468731846979	1.65481722405067e-08	2.5411786996828e-05
WNT4	1601.62931122474	3.1410729568624	0.583513593618862	5.38303304535194	7.32410857853596e-08	9.99740820970159e-05
NCAPD3	78.4903223228804	-6.67549224267638	1.25572926439739	-5.31602824903494	1.06056691631422e-07	0.000118446041517456
PARVB	65.1115256702499	-9.50989876755468	1.78356745149353	-5.33195352919859	9.71618061549726e-08	0.000118446041517456
PCDHB10	13.9397900141174	-20.0582358896223	3.80943142409998	-5.26541461351053	1.3987331956204e-07	0.000143195310901639
NPY1R	122.666345980622	21.4517249758067	4.16305116037682	5.15288526357313	2.5650891832306e-07	0.000242400927815292
RRAD	145.989916965744	-9.31745836954954	1.81411610135382	-5.13608713499439	2.80517634830543e-07	0.000246154224563802
LOC690276	41.1889137766693	-9.14003514534767	1.81714692275398	-5.02988230114903	4.90781012031544e-07	0.000401949648853835
ADAMTS12	102.841116908452	-9.81653012340167	1.96039521716147	-5.0074240323925	5.5163312254959e-07	0.000423550806907607
SLC7A11	84.117893414628	-6.74996857504232	1.3848470553449	-4.8741617704211	1.0927142286577e-06	0.000789646723474111
CABP1	31.7366069712365	6.70824576391333	1.42478232216005	4.70826010372116	2.49840171902746e-06	0.00161541395359223
CD79B	9.59033393547859	-21.4911913112188	4.5605167296357	-4.71244654614732	2.44760296815844e-06	0.00161541395359223
MEGF9	80.5503338562968	-9.15777753952438	1.966543207402	-4.65678938812776	3.21178708584401e-06	0.00197284021747968
PCDH7	80.3038727507218	-6.24335945981457	1.34580207799975	-4.63913643906243	3.49868026392272e-06	0.00204672795439479
DMBT1	146.599567534309	-9.72477082113528	2.12750332416728	-4.57097796777432	4.85453325337698e-06	0.00271081550080619
GOT1	1269.75043516762	1.623714448813	0.357530369516913	4.54147280133693	5.58625938155283e-06	0.00298379115227724
TMEM132E	22.0349435706986	-21.41378255934	4.73565591225601	-4.52181977662704	6.13102507851153e-06	0.00313831846206309
APBA2	62.910475406545	-9.88283188152737	2.22027240583632	-4.45117988925542	8.5399763716321e-06	0.0037902366376108
FBN2	9.11564419251164	-21.3974863520955	4.82000267637107	-4.43931005619388	9.02477230451853e-06	0.0037902366376108
HSD17B11	1069.79350114354	1.77036165718448	0.398077503943674	4.44727883300579	8.69649225863206e-06	0.0037902366376108
LAYN	358.893275738162	3.48653562508965	0.786341923042689	4.43386715488698	9.25576712481269e-06	0.0037902366376108
OTUB2	42.4253019471896	-8.77209363880237	1.97807610054813	-4.43465933205078	9.22179962374324e-06	0.0037902366376108
VEGFC	41.3464220811432	-9.3146707757313	2.08937124914745	-4.45812144659886	8.26810558562577e-06	0.0037902366376108
CTLA4	7.63871881412113	-24.5413307776846	5.56488065400192	-4.41003721437152	1.03352856245055e-05	0.00384754496657729
DES	1457.09807183117	2.8950028766935	0.655639928651454	4.41553778252654	1.00759178254665e-05	0.00384754496657729
SPNS3	63.1723375376527	-8.98726749717743	2.03223201828171	-4.42236290754651	9.76272948142175e-06	0.00384754496657729
PIK3R5	84.5558294490041	-8.56694675596451	1.95124778349024	-4.39049659835648	1.13092084564562e-05	0.00408628311434014
ADORA2A	101.200109898246	-9.366356992005	2.15122912292594	-4.35395602085639	1.33702540886014e-05	0.0045166601690901
GFPT1	1420.20877265255	-1.30334683638058	0.299608350897932	-4.35016858667131	1.36032907005563e-05	0.0045166601690901
HECTD2	38.475197033701	-8.60029544512572	1.97496408759444	-4.35465915514499	1.3327412260964e-05	0.0045166601690901
CILP	96.7857361079643	-10.1640119795736	2.34124281871848	-4.34128912144922	1.41649186715643e-05	0.00457936910210966
CYP1A1	76.2899641817474	-10.0556097768292	2.33854670635602	-4.29993968027182	1.70844604101176e-05	0.00538160502918705
FAM220A	134.224174106327	3.4016214675791	0.792620726546308	4.29161306745158	1.77379842730284e-05	0.00544777841985386
GPR19	46.8947823686324	-7.85216992748229	1.83610827881141	-4.27652879631114	1.89830011913802e-05	0.00565517478061833
NNMT	40.5950675503894	-7.96384893335484	1.86400170385899	-4.2724472391133	1.93339308739088e-05	0.00565517478061833
CITED4	3255.84985005504	1.97802904851199	0.466346369159338	4.24154486734334	2.21986500349341e-05	0.00634210269021315
CNKSR3	1528.92457170851	-1.35395687912158	0.323053709947229	-4.19112004422654	2.7758073588448e-05	0.00757795408964631
DPP4	68.6500543444972	-7.98969899246563	1.90628945145315	-4.19123076318506	2.77445290501572e-05	0.00757795408964631
PLXND1	63.5615093192327	-6.96583962690641	1.67043564653433	-4.170073622027	3.04501253819073e-05	0.00813216935471155
IKBKE	133.074478909457	-2.59730180932783	0.628492469466838	-4.13259018287231	3.58697955160916e-05	0.00937575399819543
CNOT6L	358.002519994838	-1.59557996681347	0.387987247701206	-4.11245466511376	3.91474361929424e-05	0.00961852507260596
LCMT2	176.76683936711	1.95628109832764	0.475151920724909	4.11716971562077	3.83553629150521e-05	0.00961852507260596
FAM71A	37.098862640032	-6.70288836735615	1.65612617915768	-4.04732951613946	5.1805288097007e-05	0.0124789796916026
HHEX	71.5780093268014	-7.35109817561755	1.81836109607182	-4.04270537436048	5.28379969862123e-05	0.0124829767879927
ACVRL1	56.3245928517353	-9.32056674125688	2.32117167297944	-4.01545773186741	5.93305318271034e-05	0.0137523694999239
PTPDC1	41.1029247228241	-8.90116229543308	2.21947999826647	-4.01047195847015	6.05974973407515e-05	0.013785930645021
CXCL2	14000.9265505488	-1.89355645991679	0.475250837964546	-3.9843306074466	6.76706073549343e-05	0.0148452394884887
POLR3G	102.486757670673	-3.71840387789369	0.93228912528223	-3.98846642855351	6.65018117151357e-05	0.0148452394884887
ADCK2	111.976514824012	-2.83298838603931	0.718768336312244	-3.94144850700353	8.09910233953785e-05	0.017455696884425
MSX1	1661.47156022184	2.82869157853897	0.725777248640027	3.89746521241802	9.72047801608741e-05	0.0205889780047645
FMO1	62.5710122131553	-8.31752949804082	2.14618800942447	-3.87548968753733	0.000106410486624618	0.0214303742325152
IVD	2553.9211337506	1.47950212771948	0.381509193305621	3.87802483840611	0.000105307967808656	0.0214303742325152
