baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SERPINB2	127.070359986766	-23.8864667963716	2.91503586225437	-8.19422742123617	2.5220781392856e-16	3.03935636565308e-12
IGFBP2	1601.29826502653	-4.36465933211015	0.541420436940098	-8.06149719204828	7.53656254716741e-16	4.54115576279572e-12
PRKCQ	22.8816831120758	22.765549882874	2.98304321434121	7.6316527274653	2.31763055941427e-14	9.30992195716712e-11
CLDN5	71.0210966344114	-22.1899389140189	3.033756087744	-7.31434507990393	2.5863970412457e-13	7.79216768601297e-10
ANGPT2	132.105464097838	-22.2383848345052	3.09047574565309	-7.19578041205619	6.21045097956373e-13	1.49684289509445e-09
RASL10A	996.848729128205	1.33026306092823	0.199492548328879	6.66823433793219	2.58899171272074e-11	5.19998985499961e-08
ELMOD1	10.7817235231283	-22.6074257473283	3.43081358838437	-6.58952320343775	4.41241273443998e-11	7.5962836946766e-08
ITPRID1	57.7864358348503	-22.1534537654347	3.39250578338106	-6.53011525402795	6.57190996944472e-11	9.89976088022229e-08
DSE	114.801334551011	-10.0229384986944	1.67468236079312	-5.98497884335966	2.16417990297191e-09	2.89783689007938e-06
REG3G	165.348462239161	-7.63942010831102	1.28468536986292	-5.9465300123455	2.73886336910138e-09	3.00054931464006e-06
ZCCHC10	399.014350880898	1.85037189345087	0.310907156210422	5.95152558083461	2.65654489136148e-09	3.00054931464006e-06
LRRK2	12.3499678486961	-18.0671802271492	3.05878298114104	-5.90665645079843	3.49120740123971e-09	3.50604503269497e-06
RRAD	145.989916965744	-10.2860059083062	1.76466437749689	-5.82887377309477	5.58026914312554e-09	5.17290949567737e-06
CITED4	3255.84985005504	2.480888864793	0.431696656581511	5.74683363183418	9.09301170726181e-09	7.30532560561414e-06
CNOT6L	358.002519994838	-2.0693349341566	0.359405904094585	-5.7576542582673	8.52908178649653e-09	7.30532560561414e-06
DDR2	128.754863172526	-7.46151789346029	1.3794272080973	-5.40914217847877	6.33273413622659e-08	4.76973619222916e-05
NCAPD3	78.4903223228804	-6.44111669831723	1.19600046403016	-5.38554698934869	7.22246624673608e-08	4.98969070199565e-05
PIK3R5	84.5558294490041	-10.1403999616116	1.88486891647105	-5.37989664586168	7.45286139207715e-08	4.98969070199565e-05
ADAMTS12	102.841116908452	-10.0339152679379	1.89457033204047	-5.29614292921566	1.18274275065115e-07	7.50170152005108e-05
DPP4	68.6500543444972	-9.73486147574146	1.84384874279433	-5.2796421147802	1.29436453496813e-07	7.79919350545048e-05
CNKSR3	1528.92457170851	-1.57130660191181	0.299126835471742	-5.25297771907947	1.49659647142837e-07	8.58832575103964e-05
PARVB	65.1115256702499	-9.09118618454148	1.73865988231518	-5.22884681300392	1.70570619252318e-07	9.343393330044e-05
TXNIP	5492.46585616781	2.19752234461701	0.427869933291229	5.1359587894232	2.80709171579266e-07	0.000147079401160945
MEGF9	80.5503338562968	-9.68213433542278	1.89953595417548	-5.09710506618203	3.44886934049674e-07	0.000173176351759693
SLC7A11	84.117893414628	-6.77827728888948	1.34256487362106	-5.04875214752763	4.44705239310275e-07	0.000214365713557125
SPNS3	63.1723375376527	-9.70154041246031	1.95767956123783	-4.95563247660719	7.2095380214583e-07	0.000334162087294592
IKBKE	133.074478909457	-2.85849388780594	0.584127588590782	-4.8936121895939	9.90018348080615e-07	0.000441878189359981
RASD2	1342.03295792181	2.46370418798068	0.504360414212237	4.88480879656018	1.03529270329399e-06	0.000445582584549851
PCDHB10	13.9397900141174	-17.3228891579702	3.58590571606324	-4.83082672262449	1.35967297636988e-06	0.000565014449594258
GFPT1	1420.20877265255	-1.33437871383525	0.277444698379989	-4.80953040957977	1.5128528046949e-06	0.000607712971645941
LOC690276	41.1889137766693	-8.48601001071393	1.76839464995768	-4.79870825831612	1.59692204417171e-06	0.000620790566268169
