baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SERPINB2	127.070359986766	25.1923991630212	2.22757948334453	11.3093154930646	1.18006531069583e-29	1.47614369714941e-25
PRKCQ	22.8816831120758	-23.6065549032161	2.38003315168316	-9.91858238887198	3.45630068445559e-23	2.16174326309275e-19
ELMOD1	10.7817235231283	20.4485581433174	2.63990056325372	7.74595771823855	9.48640763354634e-15	3.95551576960104e-11
CTLA4	7.63871881412113	-29.5223207020163	3.96717252793066	-7.44165283817782	9.94332517701134e-14	3.10952636598087e-10
NPY1R	122.666345980622	22.1802423839839	3.09295802409238	7.17120704879032	7.4339372369297e-13	1.85982241793507e-09
CD79B	9.59033393547859	-22.4492794789755	3.22636198971414	-6.95807834041725	3.44945396372118e-12	7.19153660536471e-09
IDI2	348.033868747696	4.66473942012605	0.718719868552208	6.49034432500485	8.56404175479177e-11	1.53039426158129e-07
MYCL	50.7588295830324	8.13870202602623	1.26941868244962	6.41136146690454	1.44225780884371e-10	2.25515036635325e-07
BMP4	327.47702523361	-3.17742754842262	0.508784726914607	-6.24513154648196	4.2344358789702e-10	5.88539537889314e-07
ITPK1	919.899818366283	-1.39454768806424	0.225602572004065	-6.18143523664755	6.35214192654956e-10	7.94589433592085e-07
CRISPLD2	1839.95322328788	-1.90323908256228	0.312350144566044	-6.09328702314674	1.10615470134347e-09	1.25789901446414e-06
BPGM	1559.93838724756	2.29898889058404	0.386409840348132	5.94961269234963	2.68777734082632e-09	2.80178389636637e-06
EDN1	1452.21897902727	2.11800177080637	0.379541240793836	5.58042590148154	2.39930350917262e-08	2.14377768544573e-05
GPX3	10987.7698148368	-2.72393519641036	0.489313929013079	-5.56684581185824	2.59391725334399e-08	2.163154061472e-05
CCR1L1	25.431858336421	8.47144809461562	1.54499949112234	5.48313973130288	4.1784271940084e-08	3.26674661061569e-05
LGALS7	1317.54196368695	4.32003257357263	0.79401295895571	5.44075827081507	5.305426298994e-08	3.90385750435976e-05
SQOR	979.130587269637	-1.38992601474855	0.274486052289935	-5.06374004490543	4.11110151352322e-07	0.000285698715737011
CD302	383.217597970634	-1.71003896093516	0.341146362491878	-5.0126255148796	5.36923293162954e-07	0.000353493340746073
ACE	2692.59300976924	-2.43742048454699	0.48897008433925	-4.98480492490803	6.20243582941514e-07	0.00038793134895077
INHA	31.6656275879873	7.0704562821862	1.42874808174153	4.94870745412855	7.4707935376528e-07	0.000445010268392852
LBP	47908.3345291376	-1.81963189682917	0.368985960005735	-4.93143938810271	8.16258963863803e-07	0.000464117426316923
REG3G	165.348462239161	4.38559315977985	0.894323820318884	4.90380895615204	9.39959120263958e-07	0.00051121515806008
MYCN	29.4963523527969	6.9375681585827	1.42052298922109	4.88381266000262	1.04053942571203e-06	0.000521924278563017
SOSTDC1	29.3580351287626	7.84071746225448	1.60560918375974	4.88332873376723	1.04309752690666e-06	0.000521924278563017
GAS6	14251.9264877028	-2.45850129727582	0.505998297994213	-4.85871455896467	1.18150324924562e-06	0.000533988870512341
PTGDS	1251.7749092717	-1.67997780321104	0.345929313587445	-4.85641932390438	1.19527447232757e-06	0.000533988870512341
SPT1	100.818515511676	-5.55306501985964	1.15444372286306	-4.81016519894783	1.50805604998139e-06	0.00065049217686956
SIGLEC15	49.3345537384871	3.7055536605045	0.774973927558319	4.781520421183	1.7397432603612e-06	0.000725414948128609
RGD1309104	239.790037974053	1.75435600610129	0.367858663129898	4.76910341372547	1.85047653956636e-06	0.000746697130110826
GPR37	43.1374757387017	8.25313693574866	1.73783725943559	4.74908504288203	2.04339007940496e-06	0.000798773953227394
RGD1310507	1025.20941881605	-1.52383056939354	0.321869413838358	-4.73431305951551	2.19798247594306e-06	0.000833168569441569
FOLR1	1121.81605882917	-1.57245441803523	0.334179104334999	-4.70542412029125	2.53338722031355e-06	0.000880281687191728
GPNMB	663.791250698481	-2.35938642404188	0.50114591655038	-4.70798293695103	2.50180037228426e-06	0.000880281687191728
TRH	5.54919622910028	18.8969405812323	4.01374081448707	4.70806199369582	2.50083051655575e-06	0.000880281687191728
CFB	20033.8831487949	-1.28107125483272	0.274017729386274	-4.67514002726018	2.93753116082694e-06	0.000993123710561733
HSPA5	133657.293824496	-1.06909389391533	0.231240111021234	-4.62330643759793	3.77671155312435e-06	0.00121135602097519
NPC2	4309.10087562988	-1.13469817545089	0.245407345009292	-4.62373355372849	3.768939367221e-06	0.00121135602097519
TOX3	24.4773773858754	4.88235580634723	1.07018998595204	4.56213931211839	5.06350304684885e-06	0.00158348399032581
RASD2	1342.03295792181	-1.79572356789113	0.394905540314554	-4.5472230307551	5.43583853030658e-06	0.00165846107745378
RBM24	56.8023728690961	7.02964711007248	1.54856056985866	4.53947184688688	5.63953092563597e-06	0.00167964029401858
SLC2A4	16.212226775822	-7.32711656394476	1.6202688800165	-4.52216089212931	6.12115027053883e-06	0.00178068531939931
ANKRD54	298.001646694028	-1.46748359210019	0.327017866766489	-4.48747221859919	7.20732068435834e-06	0.00200347498756974
ZAP70	23.0152264240304	-8.37863230682141	1.88051743127097	-4.45549302946828	8.37006155733837e-06	0.0022276829791648
CKMT1	352.717671979541	1.76581231367408	0.397400135402691	4.44341145451487	8.85436054558037e-06	0.00230748325134718
HSP90B1	28250.5614293085	-1.12930646984136	0.255981561916599	-4.4116711429759	1.02575828264879e-05	0.00261861435870484
