cluster	total	basal	luminal	animal12	animal15	animal16	animal7	animal8	animal9
cluster0	2313	2313	0	47	34	28	542	1002	660
cluster1	2012	2012	0	484	223	170	472	362	301
cluster2	1859	0	1859	376	217	261	315	473	217
cluster3	1821	1821	0	635	426	617	59	73	11
cluster4	1751	0	1751	358	319	251	224	199	400
cluster5	1737	1737	0	43	14	5	781	696	198
cluster6	1637	0	1637	489	298	360	118	210	162
cluster7	1478	0	1478	280	345	238	192	112	311
cluster8	1335	1335	0	502	391	382	32	27	1
cluster9	498	498	0	131	81	64	64	82	76
cluster10	117	117	0	40	28	8	26	9	6
cluster11	92	0	92	30	23	6	20	5	8
cluster12	68	6	62	20	8	11	12	12	5
cluster13	51	48	3	13	14	13	9	2	0
