cluster	basal	luminal	animal12	animal15	animal16	animal7	animal8	animal9
cluster0	1	0	0.02	0.015	0.012	0.234	0.433	0.285
cluster1	1	0	0.241	0.111	0.084	0.235	0.18	0.15
cluster2	0	1	0.202	0.117	0.14	0.169	0.254	0.117
cluster3	1	0	0.349	0.234	0.339	0.032	0.04	0.006
cluster4	0	1	0.204	0.182	0.143	0.128	0.114	0.228
cluster5	1	0	0.025	0.008	0.003	0.45	0.401	0.114
cluster6	0	1	0.299	0.182	0.22	0.072	0.128	0.099
cluster7	0	1	0.189	0.233	0.161	0.13	0.076	0.21
cluster8	1	0	0.376	0.293	0.286	0.024	0.02	0.001
cluster9	1	0	0.263	0.163	0.129	0.129	0.165	0.153
cluster10	1	0	0.342	0.239	0.068	0.222	0.077	0.051
cluster11	0	1	0.326	0.25	0.065	0.217	0.054	0.087
cluster12	0.088	0.912	0.294	0.118	0.162	0.176	0.176	0.074
cluster13	0.941	0.059	0.255	0.275	0.255	0.176	0.039	0
