cluster	total	basal	luminal	animal1	animal10	animal11	animal12	animal13	animal14	animal2	animal3	animal9
cluster0	4667	0	4667	49	512	311	853	1106	745	111	70	910
cluster1	4437	0	4437	1320	313	49	12	312	591	390	722	728
cluster2	3870	0	3870	265	516	226	41	338	584	95	414	1391
cluster3	3113	3113	0	145	386	395	443	62	922	63	183	514
cluster4	3084	3084	0	4	86	688	1865	169	129	7	2	134
cluster5	2749	2749	0	99	1188	63	97	28	49	244	34	947
cluster6	2686	2686	0	491	99	2	8	15	30	213	1663	165
cluster7	2546	2546	0	1	13	15	5	2	2453	0	0	57
cluster8	2503	0	2503	612	223	69	18	79	722	223	113	444
cluster9	2453	0	2453	7	12	621	1641	111	21	7	1	32
cluster10	1473	0	1473	910	6	2	7	3	1	41	495	8
cluster11	1463	0	1463	4	41	661	676	28	15	6	0	32
cluster12	964	0	964	0	0	696	232	12	2	0	0	22
cluster13	960	960	0	7	118	192	321	3	14	14	2	289
cluster14	697	697	0	16	75	24	164	281	59	24	5	49
cluster15	677	0	677	45	64	43	161	90	200	6	11	57
cluster16	662	0	662	37	181	3	155	95	52	10	8	121
cluster17	606	0	606	101	43	28	51	75	19	25	167	97
cluster18	156	147	9	4	14	9	65	3	21	16	3	21
