cluster	total	basal	luminal	animal1	animal10	animal11	animal12	animal13	animal14	animal2	animal3	animal9
cluster0	4796	4791	5	26	586	745	1974	217	162	47	7	1032
cluster1	4130	57	4073	53	444	299	838	993	584	124	71	724
cluster2	3663	41	3622	273	491	226	36	313	472	94	424	1334
cluster3	3552	3552	0	693	178	2	8	16	24	440	1867	324
cluster4	3413	3412	1	4	14	17	4	4	3282	1	0	87
cluster5	2951	46	2905	625	266	201	35	98	856	236	108	526
cluster6	2682	21	2661	1283	83	6	6	24	10	345	690	235
cluster7	2440	2427	13	17	994	407	440	47	113	40	8	374
cluster8	2205	35	2170	61	249	236	60	342	624	49	41	543
cluster9	1878	27	1851	4	45	902	778	54	24	10	0	61
cluster10	1756	45	1711	8	20	79	1537	81	15	6	1	9
cluster11	1430	8	1422	895	8	0	0	2	2	30	488	5
cluster12	810	25	785	12	67	52	148	122	171	3	8	227
cluster13	775	10	765	0	0	659	90	6	0	1	0	19
cluster14	701	698	3	16	76	25	164	280	60	24	6	50
cluster15	626	624	2	7	97	152	259	2	6	12	1	90
cluster16	565	9	556	41	38	39	126	53	208	6	11	43
cluster17	562	9	553	88	44	24	50	60	22	23	164	87
cluster18	539	11	528	24	148	1	144	64	46	7	7	98
cluster19	340	333	7	1	24	35	62	3	12	1	1	201
cluster20	178	5	173	6	31	23	58	37	5	1	0	17
cluster21	154	145	9	4	13	8	65	3	21	16	3	21
