cluster	basal	luminal	animal1	animal10	animal11	animal12	animal13	animal14	animal2	animal3	animal9
cluster0	0	1	0.01	0.11	0.067	0.183	0.237	0.16	0.024	0.015	0.195
cluster1	0	1	0.297	0.071	0.011	0.003	0.07	0.133	0.088	0.163	0.164
cluster2	0	1	0.068	0.133	0.058	0.011	0.087	0.151	0.025	0.107	0.359
cluster3	1	0	0.047	0.124	0.127	0.142	0.02	0.296	0.02	0.059	0.165
cluster4	1	0	0.001	0.028	0.223	0.605	0.055	0.042	0.002	0.001	0.043
cluster5	1	0	0.036	0.432	0.023	0.035	0.01	0.018	0.089	0.012	0.344
cluster6	1	0	0.183	0.037	0.001	0.003	0.006	0.011	0.079	0.619	0.061
cluster7	1	0	0	0.005	0.006	0.002	0.001	0.963	0	0	0.022
cluster8	0	1	0.245	0.089	0.028	0.007	0.032	0.288	0.089	0.045	0.177
cluster9	0	1	0.003	0.005	0.253	0.669	0.045	0.009	0.003	0	0.013
cluster10	0	1	0.618	0.004	0.001	0.005	0.002	0.001	0.028	0.336	0.005
cluster11	0	1	0.003	0.028	0.452	0.462	0.019	0.01	0.004	0	0.022
cluster12	0	1	0	0	0.722	0.241	0.012	0.002	0	0	0.023
cluster13	1	0	0.007	0.123	0.2	0.334	0.003	0.015	0.015	0.002	0.301
cluster14	1	0	0.023	0.108	0.034	0.235	0.403	0.085	0.034	0.007	0.07
cluster15	0	1	0.066	0.095	0.064	0.238	0.133	0.295	0.009	0.016	0.084
cluster16	0	1	0.056	0.273	0.005	0.234	0.144	0.079	0.015	0.012	0.183
cluster17	0	1	0.167	0.071	0.046	0.084	0.124	0.031	0.041	0.276	0.16
cluster18	0.942	0.058	0.026	0.09	0.058	0.417	0.019	0.135	0.103	0.019	0.135
