cluster	basal	luminal	animal1	animal10	animal11	animal12	animal13	animal14	animal2	animal3	animal9
cluster0	0.999	0.001	0.005	0.122	0.155	0.412	0.045	0.034	0.01	0.001	0.215
cluster1	0.014	0.986	0.013	0.108	0.072	0.203	0.24	0.141	0.03	0.017	0.175
cluster2	0.011	0.989	0.075	0.134	0.062	0.01	0.085	0.129	0.026	0.116	0.364
cluster3	1	0	0.195	0.05	0.001	0.002	0.005	0.007	0.124	0.526	0.091
cluster4	1	0	0.001	0.004	0.005	0.001	0.001	0.962	0	0	0.025
cluster5	0.016	0.984	0.212	0.09	0.068	0.012	0.033	0.29	0.08	0.037	0.178
cluster6	0.008	0.992	0.478	0.031	0.002	0.002	0.009	0.004	0.129	0.257	0.088
cluster7	0.995	0.005	0.007	0.407	0.167	0.18	0.019	0.046	0.016	0.003	0.153
cluster8	0.016	0.984	0.028	0.113	0.107	0.027	0.155	0.283	0.022	0.019	0.246
cluster9	0.014	0.986	0.002	0.024	0.48	0.414	0.029	0.013	0.005	0	0.032
cluster10	0.026	0.974	0.005	0.011	0.045	0.875	0.046	0.009	0.003	0.001	0.005
cluster11	0.006	0.994	0.626	0.006	0	0	0.001	0.001	0.021	0.341	0.003
cluster12	0.031	0.969	0.015	0.083	0.064	0.183	0.151	0.211	0.004	0.01	0.28
cluster13	0.013	0.987	0	0	0.85	0.116	0.008	0	0.001	0	0.025
cluster14	0.996	0.004	0.023	0.108	0.036	0.234	0.399	0.086	0.034	0.009	0.071
cluster15	0.997	0.003	0.011	0.155	0.243	0.414	0.003	0.01	0.019	0.002	0.144
cluster16	0.016	0.984	0.073	0.067	0.069	0.223	0.094	0.368	0.011	0.019	0.076
cluster17	0.016	0.984	0.157	0.078	0.043	0.089	0.107	0.039	0.041	0.292	0.155
cluster18	0.02	0.98	0.045	0.275	0.002	0.267	0.119	0.085	0.013	0.013	0.182
cluster19	0.979	0.021	0.003	0.071	0.103	0.182	0.009	0.035	0.003	0.003	0.591
cluster20	0.028	0.972	0.034	0.174	0.129	0.326	0.208	0.028	0.006	0	0.096
cluster21	0.942	0.058	0.026	0.084	0.052	0.422	0.019	0.136	0.104	0.019	0.136
