	Gene Symbol	CD44+ N37	CD44+ N39	CD44+ N40	CD44+ N152	CD44+ N161	CD44+ N172	t-value	q-value	p-value	PseudoFC
1	LAMA4	13.6103758	13.1248048	13.5151803	10.3063616	1.2054667	0.6019289	-1.359775376	4.96E-02	3.36E-03	-5076.834781
2	PPP1R14B	13.4684599	13.959023	12.7741451	9.1963108	1.2054667	0.6019289	-1.486868809	4.96E-02	2.33E-03	-4615.324
3	TNFRSF1B	12.9614908	13.2167497	13.6091329	8.2868394	1.2054667	0.6019289	-1.588927616	4.96E-02	1.74E-03	-4128.15949
4	DEXI	13.1034589	13.1602396	12.7642174	9.1278561	1.2054667	0.6019289	-1.439654924	4.96E-02	2.75E-03	-3816.388306
5	LOC493754	12.5910761	13.0273744	13.6360568	7.221194	1.2054667	0.6019289	-1.710741767	4.96E-02	1.18E-03	-3620.335642
6	PDLIM4	12.788139	14.1826228	12.679069	8.3967085	1.2054667	0.6019289	-1.556766622	4.96E-02	1.93E-03	-3067.127371
7	PTPN23	12.9406847	13.016869	12.1131094	7.400693	1.2054667	0.6019289	-1.617863825	4.96E-02	1.62E-03	-2918.84222
8	SNORD36C	11.305107	12.6088953	12.4744788	1.0866873	1.2054667	0.6019289	-2.653171098	4.96E-02	8.42E-05	-2679.580608
9	KRT5	12.4547797	15.685283	11.4396006	1.0866873	1.2054667	0.6019289	-2.422419242	4.96E-02	1.16E-04	-2643.241145
10	SS18L2	12.4262368	12.4310079	12.9131587	1.0866873	7.7062919	0.6019289	-1.562850336	4.96E-02	1.90E-03	-2600.044501
11	FBXW5	13.2849926	12.5732248	11.8993481	6.2771857	1.2054667	0.6019289	-1.766773527	4.96E-02	9.99E-04	-2516.87735
12	CDK16	12.4306649	12.4968854	12.1743664	8.5567575	1.2054667	0.6019289	-1.411638952	4.96E-02	2.95E-03	-2393.984757
13	KLC1	12.6482792	12.4640362	11.6697419	8.7430302	1.2054667	0.6019289	-1.368185449	4.96E-02	3.25E-03	-2146.563279
14	DAXX	12.1802227	12.5964062	12.2700784	6.32242	1.2054667	0.6019289	-1.729329332	4.96E-02	1.12E-03	-2141.805429
15	MMP1	15.9395716	12.0463993	9.4756	1.0866873	1.2054667	0.6019289	-2.041983191	4.96E-02	3.57E-04	-1991.599689
16	YTHDC1	12.1422534	11.7110949	12.7380809	10.3342478	1.2054667	0.6019289	-1.178215458	4.99E-02	5.86E-03	-1960.202132
17	NCS1	11.8979182	12.1056174	11.8095251	1.0866873	8.492491	0.6019289	-1.354139155	4.96E-02	3.40E-03	-1796.820819
