	Gene Symbol	CD44+ N37	CD44+ N39	CD44+ N40	CD44+ N152	CD44+ N161	CD44+ N172	t-value	q-value	p-value	PseudoFC
1	HSPA1A	2.993831	4.7365865	7.9976413	16.0180355	17.2726998	14.8795479	2.011561712	4.96E-02	3.89E-04	2489.16994
2	LOC642361	1.8744435	2.0230478	2.9956812	10.9516464	13.1605909	14.0572919	2.198386219	4.96E-02	1.73E-04	2137.354775
3	RPS29	4.309025	5.3621423	6.2829045	14.7874254	15.5024984	15.6669952	2.280347449	4.96E-02	1.48E-04	1128.6294
4	HNRNPA1	3.0245043	2.0230478	2.1654208	11.7692264	12.0704905	12.5017958	2.349268832	4.96E-02	1.24E-04	858.800101
5	MTRNR2L2	1.8744435	2.0230478	2.1654208	9.4518602	11.4449535	12.8355435	1.945683642	4.96E-02	4.93E-04	685.9243605
6	RPL23AP32	3.8197323	5.4346801	5.5446534	13.4958827	14.2869369	14.8841946	2.091154616	4.96E-02	2.85E-04	647.8613061
7	RPL27A	5.7794294	5.1480825	6.6706745	14.2486421	15.5219953	15.4572907	2.112261591	4.96E-02	2.69E-04	548.9609052
8	ERH	2.993831	2.0230478	2.1654208	11.3198595	10.3562848	12.0605992	2.042512894	4.96E-02	3.49E-04	536.2523097
9	COX6A1	2.2016907	2.0230478	2.1654208	9.5311029	11.2246821	11.7648175	1.966234652	4.96E-02	4.53E-04	533.4692445
10	COX6C	1.8744435	2.0230478	4.4498938	10.7716423	10.9430782	12.193477	1.8119455	4.96E-02	8.47E-04	476.7862499
11	RPLP1	6.5212096	6.0726357	6.5278107	14.3822043	15.7350278	15.2879499	2.095830752	4.96E-02	2.77E-04	435.5638137
12	PLAC9	1.8744435	2.406905	2.1654208	10.8701759	10.1377987	11.3236165	2.087657395	4.96E-02	2.93E-04	417.2461993
13	S100A4	2.993831	2.0230478	2.1654208	9.6949272	10.8915463	11.6510165	1.898294036	4.96E-02	5.82E-04	403.7127825
14	CRIP1	1.8744435	2.0230478	2.1654208	10.2489183	10.3046864	13.3062766	1.94320544	4.96E-02	5.10E-04	331.8700773
15	TRMT5	2.993831	2.406905	3.3243747	11.6174919	10.9138572	10.9475666	2.00878041	4.96E-02	3.97E-04	313.6729166
16	RPL5	4.6820765	4.9115166	6.4507011	12.9677139	13.2606973	13.4534914	1.820629375	4.96E-02	8.06E-04	312.0508774
17	GPR124	2.2016907	2.406905	3.9352215	11.488177	10.4474736	10.964382	1.854126236	4.96E-02	7.26E-04	303.5484281
18	MRFAP1	1.8744435	2.0230478	2.1654208	10.2950545	9.2452562	10.3835676	1.925871803	4.96E-02	5.26E-04	297.7890169
19	NGFRAP1	2.2016907	2.8096013	2.1654208	10.2042831	10.5428155	10.9133361	2.016446906	4.96E-02	3.81E-04	275.0852243
20	EEF1B2	5.6586086	3.8720139	4.5083337	11.8726814	13.4982434	13.0949964	1.821363767	4.96E-02	7.98E-04	256.1184813
21	ID2B	1.8744435	2.0230478	2.1654208	10.1550993	9.9150431	9.9011097	2.05796395	4.96E-02	3.33E-04	254.1750195
22	ID4	2.993831	2.0230478	2.1654208	9.921389	10.1587087	10.974378	1.897124133	4.96E-02	5.90E-04	252.5713197
23	CSN1S2AP	1.8744435	2.0230478	2.1654208	8.7595777	9.9586202	11.5499195	1.766559238	4.96E-02	1.01E-03	244.8191184
24	NDUFA12	1.8744435	2.0230478	2.1654208	8.1554584	10.0147482	9.8147322	1.679843789	4.96E-02	1.33E-03	221.5800857
25	TPT1	7.3175786	7.5987767	8.3453359	15.3722884	15.9356836	15.1839282	1.872361385	4.96E-02	6.70E-04	218.8064975
26	FOS	7.9061745	8.3595375	9.4853018	16.6082294	16.2213996	15.635844	1.759686731	4.96E-02	1.02E-03	212.2571788
27	IGFBP7	7.3921232	5.1957839	6.7042855	12.9054107	14.6094119	14.8693167	1.65560679	4.96E-02	1.42E-03	209.3287664
28	NDUFB4	5.3044627	2.406905	2.1654208	10.0513961	10.1122999	11.5764126	1.493463501	4.96E-02	2.28E-03	208.7156419
29	TMEM50A	4.6394091	2.0230478	2.1654208	10.3937635	9.8802157	9.6746202	1.520345167	4.96E-02	2.11E-03	201.0725579
30	BRP44L	1.8744435	2.0230478	2.3793449	8.9446225	10.0009196	9.6498858	1.814686728	4.96E-02	8.38E-04	196.9348643
31	ATP5C1	2.2016907	3.8720139	2.1654208	9.8991573	9.7594761	10.3326709	1.66930315	4.96E-02	1.36E-03	193.2139252
32	C1orf54	1.8744435	2.0230478	2.1654208	8.9732809	9.5726728	9.9011097	1.847285377	4.96E-02	7.34E-04	187.3542647
33	SCP2	1.8744435	3.7709946	2.1654208	9.7946438	10.4061014	9.4156466	1.647703974	4.96E-02	1.46E-03	186.263745
34	LMOD1	2.2016907	3.360637	2.1654208	8.6922175	10.6322453	10.8747201	1.6465569	4.96E-02	1.47E-03	182.7950339
35	VKORC1	2.2016907	2.0230478	2.1654208	10.515675	9.6573895	9.0502468	1.81935768	4.96E-02	8.14E-04	180.0144181
36	COX5B	4.2098819	2.406905	2.3793449	9.4920255	9.8852428	11.7298405	1.577302487	4.96E-02	1.81E-03	178.3216194
37	NEXN	1.8744435	2.8096013	2.1654208	8.5941417	9.585084	11.7376868	1.628041721	4.96E-02	1.56E-03	171.2147535
38	CAMLG	1.8744435	2.8096013	3.7641245	9.6378909	9.2914302	11.346887	1.584433083	4.96E-02	1.77E-03	170.8974041
39	NSA2	3.0245043	4.3899364	4.2859964	10.6789908	10.8013455	11.8008401	1.665392749	4.96E-02	1.37E-03	170.1783538
40	FRZB	1.8744435	2.0230478	2.1654208	8.3206874	10.5364387	9.3859987	1.680291136	4.96E-02	1.32E-03	164.6148715
41	LUM	4.815804	4.3899364	5.9741452	14.898528	12.1634288	9.5102912	1.325246537	4.96E-02	3.69E-03	162.8753855
42	NUDT4P1	1.8744435	2.0230478	3.9083598	8.4987997	9.6515005	11.2432203	1.50381325	4.96E-02	2.18E-03	161.4407011
43	FAM83A	1.8744435	2.0230478	2.1654208	4.5400907	10.2036711	9.32481	1.087975532	5.11E-02	7.90E-03	157.7790835
44	GAS5	5.2636993	4.8304956	5.7236017	11.5103468	13.0980966	12.5325658	1.65829574	4.96E-02	1.38E-03	154.2221872
45	SH3BGRL	2.993831	3.7709946	3.9083598	10.2547666	10.4095948	11.5742234	1.687732365	4.96E-02	1.29E-03	153.3767099
46	HTRA1	2.993831	2.8096013	3.9083598	11.1669832	9.7758097	10.4708877	1.68985596	4.96E-02	1.27E-03	153.1310862
47	EIF3E	4.815804	4.9115166	3.9352215	12.1666987	11.3390176	11.6777725	1.729612843	4.96E-02	1.11E-03	152.7662557
48	HMGB1	3.3509967	3.7709946	3.9083598	10.4458174	11.0182256	11.209764	1.786208332	4.96E-02	9.27E-04	151.9266336
49	NDUFB9	3.0245043	2.406905	2.1654208	9.2961016	9.63965	10.8240285	1.724643617	4.96E-02	1.14E-03	150.4087851
50	ID2	1.8744435	2.0230478	2.1654208	9.1086088	9.3652474	9.1594204	1.858037615	4.96E-02	7.18E-04	147.0157127
51	RPS8	7.3553323	8.1702751	8.5253933	14.4062143	15.6952396	15.4187663	1.672940289	4.96E-02	1.35E-03	143.9921462
52	NPM1	4.2634629	5.297868	5.5715986	12.0878069	12.6497478	11.8702944	1.697940181	4.96E-02	1.23E-03	135.1248514
53	APEX1	2.2016907	2.0230478	2.1654208	9.0559909	10.8890459	9.0502468	1.724583928	4.96E-02	1.14E-03	130.4360676
54	RPL23P8	8.2244688	8.4079855	8.7104835	15.2496156	15.3777432	15.9830695	1.762733974	4.96E-02	1.02E-03	130.2506523
55	SNX3	4.815804	3.360637	3.7641245	10.7797775	10.3671056	10.892401	1.588710112	4.96E-02	1.75E-03	128.5751992
56	HSPA1B	6.0548278	7.4768994	10.290431	14.470135	15.6075614	14.2615737	1.349532351	4.96E-02	3.44E-03	127.4012481
57	HSPA6	1.8744435	3.7709946	6.2829045	11.2673077	12.0130894	8.833074	1.257105041	4.96E-02	4.50E-03	124.381701
58	GADD45A	2.2016907	4.4133226	3.3243747	10.3175808	10.2666667	9.2717591	1.482436267	4.96E-02	2.38E-03	122.9810319
59	SPARCL1	5.8972917	4.9115166	5.2176156	12.3396908	12.1561685	12.1441484	1.695383389	4.96E-02	1.25E-03	122.6627149
60	SHFM1	1.8744435	2.406905	2.1654208	9.0891013	8.492491	11.1135456	1.625357334	4.96E-02	1.57E-03	121.4047016
61	SDHD	1.8744435	2.8096013	2.1654208	9.7035053	8.0663803	9.1710561	1.553693036	4.96E-02	1.95E-03	118.9246556
62	TRIAP1	1.8744435	2.8096013	2.9956812	10.3007191	7.1932904	9.6827716	1.363652009	4.96E-02	3.30E-03	117.2277551
63	CYC1	1.8744435	3.360637	2.9956812	8.7346847	9.9297155	9.8513533	1.556023812	4.96E-02	1.94E-03	115.8145008
