gene	avg_log2FC
COL1A1	5.646328989
CRIP1	4.598347113
COL3A1	5.678558364
FABP4	4.702979749
IGFBP7	4.277235443
SNCG	3.637345588
SPARCL1	3.691715626
MGP	3.230310006
RGD1564664	3.486260654
DES	2.9990512
DCN	3.839180869
S100A4	3.312325084
ELN	2.877352195
CCL2	3.07834031
FGL2	3.941773221
LGALS1	2.777767211
ISCA1	2.07535621
MAP3K7CL	1.940306886
FN1	2.510979188
XIRP1	2.272835179
TFPI2	2.261398634
PLN	1.799733019
S100A6	2.692288346
CST3	1.935565787
HOPX	1.691555666
FXYD1	2.253850862
PTP4A3	1.43094123
BCR	1.807343218
RARRES2	1.980209916
AOC3	1.807532128
SERPING1	1.819678006
CREM	1.507602311
AVPR1A	1.392100446
TIMP1	2.127802595
ID3	2.046825896
BGN	1.471500331
IGFBP4	1.958098445
IGFBP6	2.149812167
EPAS1	1.832620051
ESAM	1.477544442
CCDC80	1.933898102
CAVIN3	1.61176067
AKAP12	1.677560547
RRAD	1.372082705
GJA4	1.364483272
BCAM	1.545933346
RERGL	1.206837374
CPE	1.489120886
GPX1	1.483660849
NPY1R	1.548727356
PCOLCE	1.494836184
C1QTNF1	1.237177787
CYCS	1.233375457
EMP3	1.811884851
TNFAIP6	1.966699117
MYL1	1.11486058
MFAP5	1.50015652
SERPINF1	1.77155459
LPL	1.921611574
WFDC1	1.337734688
PLAC9	1.330302191
PCP4L1	1.358758171
CRYAB	1.631720861
BTG1	1.23129182
PMP22	1.881729322
VPS37B	1.069422008
DPT	1.59049543
CCL7	1.862423409
FILIP1	1.667788364
CH25H	1.382633063
CSRP2	1.707920963
LUM	1.690436519
HAS1	1.195939537
FBN1	1.357566281
PRSS23	1.128087938
AABR07031491.2	1.055219055
COL6A2	1.694998593
OGN	1.23817962
APOLD1	1.252175483
SPARC	1.487388976
LRRC32	1.049319745
SELENOM	1.567618285
THBD	0.958011877
RASGRP2	1.006865224
NRGN	1.065633542
SLFN2	1.320385624
ADAMTS4	1.263369183
AQP1	1.325237482
P2RX1	1.077896975
S1PR3	1.126551507
LOX	1.274679555
OLFML2B	1.092425986
VIM	1.249333204
INHBA	1.121908389
ITGA7	0.836747519
MCAM	1.026596746
COX4I2	1.00688179
NOP14	0.943019746
PKDCC	0.942712107
CCRL2	0.808605133
FHL1	0.966319378
TIMP4	0.857144593
RCAN2	0.823386798
NR4A2	1.041789449
CDO1	0.821192577
CCN3	0.883884041
RAMP1	0.90822991
DMPK	0.785595612
NDUFA4L2	0.867090771
GJC1	1.14270788
ASPN	0.825335349
RGS4	0.949864417
