	Gene Symbol	CD44+ N48	CD44+ N58	CD44+ N43	CD44+ N37	CD44+ N39	CD44+ N40	PseudoFC	P value	Gene description
1	HBB	8.6468674	16.8050438	13.8228961	7.6178603	6.5190676	6.31997	-158.00523	8.14E-03	"hemoglobin, beta"
2	SEC61B	0.6483116	8.0709293	7.6817429	0.6483116	0.6483116	0.6483116	-131.000754	2.05E-02	Sec61 beta subunit
3	HBA1	4.9718302	13.7367513	10.8503936	4.5294444	3.8705691	4.3891292	-88.111865	1.51E-02	"hemoglobin, alpha 1"
4	KRTAP4-12	0.6483116	7.5188996	7.0717269	0.6483116	0.6483116	0.6483116	-85.83031	2.23E-02	keratin associated protein 4-12
5	COX17	0.6483116	7.2151996	6.8208427	0.6483116	0.6483116	0.6483116	-72.130179	2.32E-02	COX17 cytochrome c oxidase assembly homolog (S. cerevisiae)
6	NCRNA00188	7.0971047	11.9594562	11.4063808	5.2454009	4.7537703	5.2372583	-71.959961	5.53E-03	non-protein coding RNA 188
7	RPS29	7.6584222	12.8284225	12.4023304	4.9809998	5.5083772	6.6792894	-70.969788	6.64E-03	ribosomal protein S29
8	RPL27A	8.0982741	12.7042089	12.4768064	5.6521291	5.7323443	6.6351347	-67.13877	5.33E-03	ribosomal protein L27a
9	COL3A1	15.5618507	12.0003006	11.8544372	5.786624	7.3497399	8.0676541	-67.080112	1.31E-03	"collagen, type III, alpha 1"
10	ERH	3.4217357	8.68187	7.6431379	2.6246983	1.6483116	1.6483116	-63.770898	9.94E-03	enhancer of rudimentary homolog (Drosophila)
11	SRP19	0.6483116	6.6376864	6.6656904	0.6483116	0.6483116	0.6483116	-63.530382	2.43E-02	signal recognition particle 19kDa
12	MTND3	9.246468	13.4559025	13.535396	6.6824908	7.6134318	6.5555051	-60.63018	4.40E-03	No description
13	LOC728640	3.1936097	6.5972293	6.4944917	0.6483116	0.6483116	0.6483116	-57.527509	2.87E-03	No description
14	CD9	6.9060068	10.1318497	9.475186	4.0232337	3.6585753	3.3033944	-56.360429	1.09E-03	CD9 molecule
15	ITM2A	10.7332686	11.7069777	11.5833995	4.9509646	5.3442641	6.8204669	-55.036011	1.56E-04	integral membrane protein 2A
16	FAM10A4	4.9718302	9.1195955	9.0504886	3.3505197	2.3529117	3.0432576	-54.533687	5.45E-03	No description
17	HNRNPA1	3.618666	8.9903599	7.9921436	3.2775699	2.2332741	2.2332741	-52.44706	1.36E-02	heterogeneous nuclear ribonucleoprotein A1
18	TRMT5	5.2345997	9.9791142	9.9564747	2.9702397	2.9702397	4.3271495	-50.281811	7.31E-03	TRM5 tRNA methyltransferase 5 homolog (S. cerevisiae)
19	TXN	3.618666	11.1516187	10.7947869	5.2564784	3.5588085	5.1473689	-50.123595	4.35E-02	thioredoxin
20	TUBA1B	6.6886019	11.6657569	11.3896879	5.6596083	5.9140419	5.7494551	-49.87458	1.40E-02	"tubulin, alpha 1b"
21	YBX1	6.1961671	10.4889689	10.3469177	4.8688724	4.6967085	4.322721	-49.183295	8.28E-03	Y box binding protein 1
22	MYEOV2	0.6483116	7.1216713	6.2020682	0.6483116	0.6483116	0.6483116	-46.972895	2.46E-02	myeloma overexpressed 2
23	NDUFB4	7.5306501	9.4757954	9.8450382	4.3721071	3.2836904	2.3702641	-44.413646	5.06E-04	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa"
24	LUM	9.3165423	13.1671155	10.5628294	5.13369	4.5035806	6.234859	-43.085765	1.26E-03	lumican
25	RAB6C	0.6483116	7.6111517	6.3953083	2.201703	0.6483116	0.6483116	-42.501702	3.69E-02	"RAB6C, member RAS oncogene family"
26	TMEM11	3.8596957	7.1254535	6.0544878	0.6483116	0.6483116	0.6483116	-42.405403	1.14E-03	transmembrane protein 11
27	LOC653566	5.7389624	8.7030496	8.8893817	3.3505197	0.6483116	3.3505197	-40.857525	2.94E-03	No description
28	UBE2NL	6.3121094	10.3641161	5.9767059	0.6483116	3.2836904	3.3505197	-40.179684	6.57E-03	ubiquitin-conjugating enzyme E2N-like
29	GPR89A	0.6483116	6.5486156	5.9562759	0.6483116	0.6483116	0.6483116	-39.614709	2.58E-02	G protein-coupled receptor 89A
30	COL1A1	14.2503101	12.1678566	11.083428	5.8216304	7.5721352	8.7925702	-38.367094	2.98E-03	"collagen, type I, alpha 1"
31	NUDT4P1	3.8596957	8.958193	7.4613813	2.201703	0.6483116	3.0432576	-38.310775	8.72E-03	nudix (nucleoside diphosphate linked moiety X)-type motif 4 pseudogene 1
32	ISCA1	0.6483116	6.1774258	5.8993133	0.6483116	0.6483116	0.6483116	-38.081059	2.67E-02	iron-sulfur cluster assembly 1 homolog (S. cerevisiae)
33	HSPA2	5.8699723	6.9808782	6.1168195	2.7142554	0.6483116	0.6483116	-37.314403	6.19E-04	heat shock 70kDa protein 2
34	PCBP1	8.602864	11.2849427	11.3907361	6.0868365	5.762668	6.1969566	-36.600197	2.51E-03	poly(rC) binding protein 1
35	KRT10	0.6483116	5.8699723	5.7612151	0.6483116	0.6483116	0.6483116	-34.604878	2.79E-02	keratin 10
36	INS-IGF2	10.3082954	9.2038175	9.1335667	4.0214531	4.0427262	6.005556	-34.585936	7.32E-04	No description
37	ANXA3	3.1936097	5.7544494	6.3780466	0.6483116	0.6483116	0.6483116	-34.442974	2.79E-03	annexin A3
38	RPL7	10.6363606	13.0277017	12.9828281	7.2436171	7.9291818	7.7219398	-34.261583	1.27E-03	ribosomal protein L7
39	KLK3	5.7389624	5.5211523	5.7544494	0.6483116	0.6483116	0.6483116	-34.075214	7.38E-05	kallikrein-related peptidase 3
40	SHFM1	1.6483116	7.8904586	6.7013238	1.6483116	2.738957	1.6483116	-33.197719	3.72E-02	split hand/foot malformation (ectrodactyly) type 1
41	2-Sep	10.2475906	10.4248306	10.3741695	6.5700299	5.3253105	5.1404808	-33.102287	1.97E-04	septin 2
42	RPL26	8.6057894	12.6927642	12.0852056	6.9469635	7.0564851	7.3163917	-32.643424	9.22E-03	ribosomal protein L26
43	GABARAP	7.3939037	10.0117625	10.0918046	5.1024276	3.4989875	3.9293281	-31.76524	1.50E-03	GABA(A) receptor-associated protein
44	BUD31	3.1936097	8.0659693	7.9929345	3.0806369	2.3529117	2.3702641	-31.67631	1.83E-02	BUD31 homolog (S. cerevisiae)
45	UBAC1	3.1936097	6.125843	5.5435526	0.6483116	0.6483116	0.6483116	-29.758729	2.71E-03	UBA domain containing 1
46	ALKBH5	9.9275237	11.3674877	11.0549694	6.5032761	5.5183879	5.3108558	-29.125514	2.51E-04	"alkB, alkylation repair homolog 5 (E. coli)"
47	RPL37	10.5812276	13.1312926	13.0286509	7.1638155	8.0715998	8.2746174	-28.973764	2.25E-03	ribosomal protein L37
48	PCNP	2.2332741	7.8985072	7.8754718	2.2332741	2.2332741	3.0539842	-28.730735	3.25E-02	PEST proteolytic signal containing nuclear protein
49	RCN2	5.9718302	7.461786	7.1360094	2.6246983	1.6483116	1.6483116	-28.583045	2.69E-04	"reticulocalbin 2, EF-hand calcium binding domain"
50	TPT1	9.3402927	12.7207558	12.2614105	6.9682094	7.4432579	7.857382	-28.210349	6.28E-03	"tumor protein, translationally-controlled 1"
51	RAB32	5.5031331	7.8264833	8.100432	3.2775699	3.0432059	2.2332741	-27.536578	2.65E-03	"RAB32, member RAS oncogene family"
