	Gene Symbol	CD44+ N48	CD44+ N58	CD44+ N43	CD44+ N37	CD44+ N39	CD44+ N40	PseudoFC	P value	Gene description
1	PLEKHM1P	0.6483116	1.7533728	4.7952584	8.4335769	8.5635721	8.5194592	108.841611	7.86E-04	"pleckstrin homology domain containing, family M (with RUN domain) member 1 pseudogene"
2	SIRPB2	0.6483116	1.7533728	4.7277463	8.2981507	7.3529845	8.3226573	93.362928	1.54E-03	signal-regulatory protein beta 2
3	CD101	1.6483116	1.6483116	2.2806151	5.6519089	7.7420795	7.9579939	51.175408	4.34E-04	CD101 molecule
4	HPDL	0.6483116	0.6483116	2.7805033	6.9758964	7.7605359	6.1730796	46.038471	3.68E-04	4-hydroxyphenylpyruvate dioxygenase-like
5	DRG1	1.6483116	2.9260582	5.3192376	8.440102	8.178599	7.4843271	38.121707	3.03E-03	developmentally regulated GTP binding protein 1
6	FSD1	0.6483116	0.6483116	0.6483116	5.8699723	0.6483116	6.005556	37.314403	2.72E-02	fibronectin type III and SPRY domain containing 1
7	FANCB	4.9718302	0.6483116	0.6483116	5.8940414	5.8645919	6.2020682	37.175502	1.36E-02	"Fanconi anemia, complementation group B"
8	FCER1G	0.6483116	0.6483116	0.6483116	6.3121094	3.633181	5.6062211	31.07989	1.32E-03	"Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide"
9	C15orf48	3.8596957	3.0432576	0.6483116	7.3284385	8.2625204	7.9071486	29.119042	9.14E-04	chromosome 15 open reading frame 48
10	SPSB2	0.6483116	0.6483116	2.329319	7.1482155	5.4619699	5.8887501	28.224899	6.01E-04	splA/ryanodine receptor domain and SOCS box containing 2
11	DCXR	6.6173073	6.7005003	8.1473355	11.8044223	12.2589829	11.407652	27.671802	3.89E-04	dicarbonyl/L-xylulose reductase
12	METTL2B	0.6483116	0.6483116	1.718753	5.4515283	6.0519341	5.4066346	27.064372	1.83E-04	methyltransferase like 2B
13	EVPL	0.6483116	1.477118	2.5523209	5.4066346	7.8223162	5.8887501	27.064372	1.40E-03	envoplakin
14	ZNF619	0.6483116	0.6483116	0.729148	5.3552247	3.8705691	5.4619699	26.116924	6.55E-04	zinc finger protein 619
15	RGPD1	2.2332741	2.9513801	2.2332741	7.1466163	7.4508625	6.9061395	25.507779	1.02E-04	RANBP2-like and GRIP domain containing 1
16	SS18L2	7.0805227	6.8407066	7.4909403	11.6751162	11.6399326	12.1435497	25.152143	9.32E-05	synovial sarcoma translocation gene on chromosome 18-like 2
17	UPK3B	3.4217357	2.0644524	5.0778428	8.0236026	7.7314199	8.323835	24.282868	1.94E-03	uroplakin 3B
18	NOL7	1.6483116	1.6483116	1.6483116	6.634474	6.2040808	3.2943761	23.519235	8.03E-03	"nucleolar protein 7, 27kDa"
19	NME2P1	1.6483116	1.6483116	1.8342345	5.7065167	6.2324592	6.3892625	23.507154	1.11E-04	"non-metastatic cells 2, protein (NM23B) expressed in, pseudogene 1"
20	ACCN3	2.9702397	3.1513313	4.3184178	7.5205751	8.0903327	8.4031465	23.430818	3.59E-04	amiloride-sensitive cation channel 3
21	ZNF93	1.6483116	2.6487905	2.4133138	6.8313035	6.2324592	7.1978492	23.410092	2.24E-04	zinc finger protein 93
22	NOL6	4.5802203	3.7794228	5.382326	8.2974709	9.9717848	9.0956137	22.912264	7.59E-04	nucleolar protein family 6 (RNA-associated)
23	ANKRD34C	0.6483116	0.6483116	1.9733776	5.2125768	6.0519341	5.1575148	22.772223	5.33E-04	ankyrin repeat domain 34C
24	AIPL1	3.1936097	0.6483116	1.2453641	5.8699723	5.7416656	5.5435526	22.569484	2.68E-03	aryl hydrocarbon receptor interacting protein-like 1
25	C12orf59	3.1936097	0.6483116	1.2453641	5.3552247	5.7416656	6.005556	22.569484	2.92E-03	chromosome 12 open reading frame 59
26	SLC1A5	10.0888444	9.3154619	12.0008834	14.577504	14.9426585	14.4781357	22.45025	2.24E-03	"solute carrier family 1 (neutral amino acid transporter), member 5"
