Sample	celltype	treatment	rat	condition	experiment	note
20200618_A4-10_CD45_CGDA7928_106_S84	CD45	D.TF	A4-10	mE2	exp7	
20200618_A4-10_Luminal_CGDA7928_86_S64	Luminal	D.TF	A4-10	mE2	exp7	
20200618_A4-14_CD45_CGDA7928_99_S77	CD45	D.TB	A4-14	pE2	exp7	
20200618_A4-14_Luminal_CGDA7928_79_S57	Luminal	D.TB	A4-14	pE2	exp7	
20200618_A4-15pt1_CD45_CGDA7928_100_S78	CD45	D.TF	A4-15pt1	pE2	exp7	
20200618_A4-15pt1_Luminal_CGDA7928_80_S58	Luminal	D.TF	A4-15pt1	pE2	exp7	
20200618_A4-15pt2_CD45_CGDA7928_101_S79	CD45	D.TF	A4-15pt2	pE2	exp7	
20200618_A4-15pt2_Luminal_CGDA7928_81_S59	Luminal	D.TF	A4-15pt2	pE2	exp7	
20200618_A4-15pt3_CD45_CGDA7928_102_S80	CD45	D.TF	A4-15pt3	pE2	exp7	
20200618_A4-15pt3_Luminal_CGDA7928_82_S60	Luminal	D.TF	A4-15pt3	pE2	exp7	
20200618_A4-15pt4_CD45_CGDA7928_103_S81	CD45	D.TF	A4-15pt4	pE2	exp7	
20200618_A4-15pt4_Luminal_CGDA7928_83_S61	Luminal	D.TF	A4-15pt4	pE2	exp7	
20200618_A4-16_CD45_CGDA7928_104_S82	CD45	D.TF	A4-16	pE2	exp7	
20200618_A4-16_Luminal_CGDA7928_84_S62	Luminal	D.TF	A4-16	pE2	exp7	
20200618_A4-18_CD45_CGDA7928_94_S72	CD45	C.TF	A4-18	mE2	exp7	
20200618_A4-18_Luminal_CGDA7928_74_S52	Luminal	C.TF	A4-18	mE2	exp7	
20200618_A4-1_CD45_CGDA7928_89_S67	CD45	C.TB	A4-1	pE2	exp7	
20200618_A4-1_Luminal_CGDA7928_69_S47	Luminal	C.TB	A4-1	pE2	exp7	
20200618_A4-20_CD45_CGDA7928_107_S85	CD45	D.TF	A4-20	mE2	exp7	
20200618_A4-20_Luminal_CGDA7928_87_S65	Luminal	D.TF	A4-20	mE2	exp7	
20200618_A4-24_CD45_CGDA7928_105_S83	CD45	D.TF	A4-24	pE2	exp7	
20200618_A4-24_Luminal_CGDA7928_85_S63	Luminal	D.TF	A4-24	pE2	exp7	
20200618_A4-27_CD45_CGDA7928_91_S69	CD45	C.TB	A4-27	pE2	exp7	
20200618_A4-27_Luminal_CGDA7928_71_S49	Luminal	C.TB	A4-27	pE2	exp7	
20200618_A4-28_CD45_CGDA7928_95_S73	CD45	C.TF	A4-28	mE2	exp7	
